Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Direction Générale des Impôts (DGI),Central goverment,,-13580034737,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Autres bénéficiaires (paiements sociaux),Other,,2066615353,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Fonds d'Intervention pour l'Environnement (FIE) (paiements environnementaux),Other,,4422649722,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Office National de Sécurisation des Sites Miniers (ONASSIM),State-owned enterprises & public corporations,,304500000,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Agence nationale des évaluations environnementales (ANEVE),State-owned enterprises & public corporations,,104049534,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Agence Nationale d’Encadrement des Exploitations Minières Artisanales et Semi-mécanisées (ANEEMAS),State-owned enterprises & public corporations,,45917878,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Bureau des Mines et de la Géologie du Burkina (BUMIGEB),State-owned enterprises & public corporations,,9132004,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,,8370000,Burkina Faso,BFA,2018,2018/01/01,2018/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,,73806693186,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Direction Générale des Douanes (DGD),Central goverment,<Use Legal Entity Identifier if available>,58933085896,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Direction Générale des Impôts (DGI),Central goverment,<Use Legal Entity Identifier if available>,14423193801,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Autres bénéficiaires (paiements sociaux),Other,<Use Legal Entity Identifier if available>,8029681450,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Fonds d'Intervention pour l'Environnement (FIE) (paiements environnementaux),Central goverment,<Use Legal Entity Identifier if available>,4263702851,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Agence Nationale d’Encadrement des Exploitations Minières Artisanales et Semi-mécanisées (ANEEMAS),State-owned enterprises & public corporations,,330797354,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Office National de Sécurisation des Sites Miniers (ONASSIM),State-owned enterprises & public corporations,,318000000,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Agence nationale des évaluations environnementales (ANEVE),State-owned enterprises & public corporations,,24360362,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,,16167700,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Bureau des Mines et de la Géologie du Burkina (BUMIGEB),State-owned enterprises & public corporations,,12960835,Burkina Faso,BFA,2019,2019/01/01,2019/12/31
Direction Générale des Impôts (DGI),Central goverment,,139009756479,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,,56739697798,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Direction Générale des Douanes (DGD),Central goverment,,67000662298,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Fonds d'Intervention pour l'Environnement (FIE),Other,,19234237714,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Autres bénéficiaires (Paiements sociaux),Other,,4869734388,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Agence Nationale d’Encadrement des Exploitations Minières Artisanales et Semi-mécanisées (ANEEMAS),State-owned enterprises & public corporations,,2021196442,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Agence de l'eau,State-owned enterprises & public corporations,,2007363783,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Office National de Sécurisation des Sites Miniers (ONASSIM),State-owned enterprises & public corporations,,408000000,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Société d'Exploitation des Phosphates du Burkina (SEPB),State-owned enterprises & public corporations,,236511688,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Agence nationale des évaluations environnementales (ANEVE),State-owned enterprises & public corporations,,136270436,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
Bureau des Mines et de la Géologie du Burkina (BUMIGEB),State-owned enterprises & public corporations,,38183378,Burkina Faso,BFA,2020,2020/12/01,2020/12/31
"Direction Générale du Trésor, de la Coopération Financière et Monétaire (DGTCFM)",Central goverment,,319433571867,Cameroon,CMR,2017,2017/01/01,2017/12/31
Direction Générale des Impôts (DGI),Central goverment,,86611173620.75,Cameroon,CMR,2017,2017/01/01,2017/12/31
Direction Générale des Douanes (DGD),Central goverment,,35303352443,Cameroon,CMR,2017,2017/01/01,2017/12/31
Société Nationale des Hydrocarbures (SNH),State-owned enterprises & public corporations,,-17629951825,Cameroon,CMR,2017,2017/01/01,2017/12/31
Caisse Nationale de Prévoyance Sociale (CNPS),Central goverment,,4563105799.97,Cameroon,CMR,2017,2017/01/01,2017/12/31
Ministère en charge des mines,Central goverment,,93003642,Cameroon,CMR,2017,2017/01/01,2017/12/31
CAPAM,Other,,,Cameroon,CMR,2017,2017/01/01,2017/12/31
Société Nationale d’Investissement du Cameroun (SNI),State-owned enterprises & public corporations,,539200395,Cameroon,CMR,2017,2017/01/01,2017/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central government,Non applicable,159247341,Chad,TCD,2017,2017/01/01,2017/12/31
Société des Hydrocarbures du Tchad (SHT),State-owned enterprises & public corporations,Non applicable,397437282,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale Technique de Pétrole (DGTP),Central government,Non applicable,4449474,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale Technique des Mines (DGTM),Central government,Non applicable,51575,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale des Services de Douanes et des Droits Indirects (DGSDDI),Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Caisse Nationale de Prévoyance Sociale (CNPS),Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Autorité de Régulation du Secteur pétrolier Aval du Tchad (ARSAT),Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Ministère des Finances,Central government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Commune de Doba,Local government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Commune de Koudalwa,Local government,Non applicable,,Chad,TCD,2017,2017/01/01,2017/12/31
Direction Générale du Trésor et de la Comptabilité Publique (DGTCP),Central goverment,Non applicable,316949335.62,Chad,TCD,2018,2018/01/01,2018/12/31
Société des Hydrocarbures du Tchad (SHT),State-owned enterprises & public corporations,Non applicable,680650556.22,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale Technique de Pétrole (DGTP),Central goverment,Non applicable,5440559,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale Technique des Mines (DGTM),Central goverment,Non applicable,96283,Chad,TCD,2018,2018/01/01,2018/12/31
Direction Générale des Services de Douanes et des Droits Indirects (DGSDDI),Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Caisse Nationale de Prévoyance Sociale (CNPS),Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Autorité de Régulation du Secteur pétrolier Aval du Tchad (ARSAT),Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Société Nationale des Mines et de la Géologie (SONAMIG),State-owned enterprises & public corporations,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Ministère des Finances,Central goverment,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Commune de Doba,Local government,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
Commune de Koudalwa,Local government,Non applicable,,Chad,TCD,2018,2018/01/01,2018/12/31
