Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Jabul Siraj Consortium,Private,9002322874,Other,Cement,Not applicable ,Not available ,378109,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Javed Liaqat Ali Limited,Private,9003329902,Other,Coal,Not applicable ,Not available ,39393630,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Kamran Bilal Talc Mines Extraction and Processing Company,Private,9004385697,Other,Talc,Not applicable ,Not available ,152574,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Kandahar Akheer Minerals,Private,1014177016,Other,Talc,Not applicable ,Not available ,602182,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Khalid Anwar Nauman Sherzad Limited,Private,9002092675,Other,Coal,Not applicable ,Not available ,16281467,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Khoshak Brothers Co,Private,1022779207,Other,Coal,Not applicable ,Not available ,89773684,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Madan Karan,Private,1044142014,Other,Coal,Not applicable ,Not available ,9290595,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Madina Hussainkhail Limited,Private,9002713296,Other,Coal,Not applicable ,Not available ,763596,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Mati Sami Limited,Private,1008627083,Other,Talc,Not applicable ,Not available ,1324284,Afghanistan,AFG,2018,2017-12-21,2018-12-24
MCC Consortium,Private,1052271010,Other,Copper,Not applicable ,Not available ,14027424.3,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Metal Mining UK,Private,1009966167,Other,Chromite,Not applicable ,Not available ,2647538,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Mir Afzalyar Limited,Private,1001597085,Other,Coal,,,2834820,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Misaq-E Sharq Company,Private,1050765013,Other,Coal,Not applicable ,Not available ,47263121,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Mohammad Omar Noorzai Limited,Private,9002253681,Other,coal,Not applicable ,Not available ,118680403,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Mohib Najib Limited,Private,1001603081,Other,Talc,Not applicable ,Not available ,12163,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Mohibullah Safi Brothers Limited,Private,9001125161,Other,Talc,Not applicable ,Not available ,518779,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Nabi Afghan Company,Private,1010360087,Other,Talc,Not applicable ,Not available ,365746,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Nadeem Ahmad Arabzai Limited,Private,9005956751,Other,Coal,Not applicable ,Not available ,8221610,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Najib Fahim Limited,Private,1001561081,Other,Coal,Not applicable ,Not available ,503965,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Natural Stone Company,Private,9001663419,Other,"Travertine, Marble",Not applicable ,Not available ,873383,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Nek Hakimzada Limited,Private,1009848019,Other,Coal,Not applicable ,Not available ,55552900,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Nemla Mineral Extraction and Processing Company,Private,9004746716,Other,Talc,Not applicable ,Not available ,81150,Afghanistan,AFG,2018,2017-12-21,2018-12-24
New Abaseen Limited,Private,1000832012,Other,Coal,Not applicable ,Not available ,393122,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Noor Abas Khoshiwal Limited,Private,1005744162,Other,Coal,Not applicable ,Not available ,19873630,Afghanistan,AFG,2018,2017-12-21,2018-12-24
North Coal Enterprise (NCE),Private,9000453812,Other,Coal,Not applicable ,https://momp.gov.af/soes ,,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Omar Farooq Talc Processing Company,Private,1002682084,Other,Talc,Not applicable ,Not available ,2022882,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Payam Rah Farda Limited,Private,9001085761,Other,Coal,Not applicable ,Not available ,1839111,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Qudrat Samim Limited,Private,9004781200,Other,Coal,Not applicable ,Not available ,19502616,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Rahimi Nekka Brothers Limited,Private,9006175187,Other,Coal,Not applicable ,Not available ,890045,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Rizwan Niazi Limited,Private,9005502746,Other,Coal,Not applicable ,Not available ,2712050,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Sahil Bilal Limited,Private,1010199089,Other,Coal,Not applicable ,Not available ,6578834,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Sajjad Hashimi Limited,Private,9002468529,Other,Coal,Not applicable ,Not available ,38602819,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Salman Sherzad Talc Company,Private,9003579092,Other,Talc,Not applicable ,Not available ,323456,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Sardar Mustafa Limited company,Private,1009975085,Other,Talc,Not applicable ,Not available ,371205,Afghanistan,AFG,2018,2017-12-21,2018-12-24
Sayam Behram Limited,Private,9005766853,Other,Coal,Not applicable ,Not available ,26323384,Afghanistan,AFG,2018,2017-12-21,2018-12-24
