GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
Compulsory transfers to government (infrastructure and other) (1415E4),Not applicable,Payments to Improve the Infrastructure,Government Agencies (Level of local government),43891373.64,EUR,Germany,DEU,2018,2018-01-01,2018-12-31
"Extraordinary taxes on income, profits and capital gains (1112E2)",Not applicable,Trade Tax,Municipalities (Level of local government),171973090.62,EUR,Germany,DEU,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Not applicable,Corporation Tax,"Tax Offices (Level of state government (""Länder""))",184194823.13,EUR,Germany,DEU,2018,2018-01-01,2018-12-31
Other rent payments (1415E5),Not applicable,Lease Payments,Municipalities (Level of local government),2001072.7,EUR,Germany,DEU,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,Mining and Extraction Royalties,"Mining Authorities (Level of state governement (""Länder""))",241967347.25,EUR,Germany,DEU,2018,2018-01-01,2018-12-31
