Full company name,Payments to Governments Report,Country,Year
MINISTRY OF MINES AND PETROLEUM AGREEMENTS,2737098.0,Afghanistan,2019
MOHAMMAD EDRIS,31973.0,Afghanistan,2019
NATURAL SARF STONE PROCESSING COMPANY,22000.0,Afghanistan,2019
NAUMAN AADIL LIMITED,781970.0,Afghanistan,2019
NAUMAN ROMAAN SHERZAD LIMITED,2775822.0,Afghanistan,2019
NAVAY SANGAR ZADRAN LIMITED,1517565.0,Afghanistan,2019
NAVID ALI SHAH TRADING COMPANY,259634.0,Afghanistan,2019
OMAR ATTA LIMITED,10120289.0,Afghanistan,2019
OMID SABAWOON SAND AND GRAVEL PRODUCTION COMPANY,1000.0,Afghanistan,2019
PAIGHAM IRSHAAD LIMITED,167393.0,Afghanistan,2019
PAK ITTIFAQ LIMITED,5562598.0,Afghanistan,2019
PAYAM RAH E FARDA LIMITED,111008.0,Afghanistan,2019
RAHIMI NEKA BROTHERS LIMITED,26432745.0,Afghanistan,2019
RAHMAN ULLAH SPEENGHAR LIMITED,814913.0,Afghanistan,2019
SAID LAIQ HUSSAIN,62276.0,Afghanistan,2019
SANG SIYA AFGHANISTAN LIMITED,90617689.0,Afghanistan,2019
SAYAM BEHRAM LIMITED,2102871.0,Afghanistan,2019
SAYED NASIR TRADERS,4644048.0,Afghanistan,2019
SHAMS UDDIN,129587.0,Afghanistan,2019
SHAMSHIR OBAID TALC PROCESSING COMPANY,11000.0,Afghanistan,2019
STANDARD TALC EXTRACTION AND PROCESSING COMPANY,4768058.0,Afghanistan,2019
TARAAJ MINES MINERAL EXTRACTION AND PROCESSING COMPANY,10329.0,Afghanistan,2019
USMAN IZZAT LIMITED,112405595.0,Afghanistan,2019
WAZIRI MINES EXTRACTION AND PROCESSING COMPANY,88288.0,Afghanistan,2019
YASIR MOHMAND LIMITED,58424643.0,Afghanistan,2019
YUSUFI QAZIZADA SOAP AND TOMATO KETCHUP PRODUCTION COMPANY,41972.0,Afghanistan,2019
ZABIT SHAH GORBAZ LIMITED,6762819.0,Afghanistan,2019
ZAHID SAYED RAHMAN LIMITED,13827148.0,Afghanistan,2019
ZAITOON KHAN TRADING COMPANY,1714090.0,Afghanistan,2019
ZAKIR FAREED LIMITED,8116213.0,Afghanistan,2019
اغا احمدی منرالز استخراج اوپروسس AGHA AHMADI MINERAL PRO CO,24709.0,Afghanistan,2019
"افغان, محمد مسعود",879720.0,Afghanistan,2019
"باور خان, باور خان",44100.0,Afghanistan,2019
بلال موسی زی دمعدنی ډبرو استخراج او پروسس شرکت BILAL MUSAZAI MINERAL PROCESSING INDUSTRIAL COMPANY,29273036.0,Afghanistan,2019
تصدی کود برق بلخ KOD-E-BARQ BALK,31889270.0,Afghanistan,2019
حبیب شهاب تا لک اومر مرواستخراج او پروسس شر کت HABIB SHAHAB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,21261814.0,Afghanistan,2019
"حیات الله ولد حمیدالله, حیات الله",134804.0,Afghanistan,2019
"خان, نور الرحمن",64515.0,Afghanistan,2019
د امین کریمزی د شوکانو او مرمرو داستخراج اوپروسس شرکت AMEEN KARIMZAI TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,9816986.0,Afghanistan,2019
"دوست محمد فرزند محمد شاه, دوست محمد",46649.0,Afghanistan,2019
سلک رود مایننگ SILK ROAD MINING CO,291089.0,Afghanistan,2019
سین جیانگ جنگ تونگ  افغانستان  تکنالوژی سرویس کو ال تی دی SEIN JHONG JHENG TONG,41840.0,Afghanistan,2019
شرکت استخراج سنگ افغان مروارید لمتید AFGHAN MORWARID STONE MINING LTD,726167.0,Afghanistan,2019
شرکت استخراج معادن افغان اکتیف لمیتد AFGHAN ACTIVE MINING LTD,0.0,Afghanistan,2019
شرکت استخراج معادن افغان ایکو AFGHAN ECHO MINING CO,1300.0,Afghanistan,2019
شرکت استخراج معادن بهارکوهساران BAHAR KOHSARAN MINING CO,113050.0,Afghanistan,2019
شرکت استخراج معادن لیگان LEGAAN MINING CO,50.0,Afghanistan,2019
شرکت استخراج معادن ممتاز کوثر لمتید MUMTAZ KAWSAR MINING LTD,0.0,Afghanistan,2019
شرکت استخراج معادن یاسمین,88853.0,Afghanistan,2019
شرکت استخراج معدن ایگل راک EAGAL ROCK MINING CO,23691.0,Afghanistan,2019
شرکت استخراج معدن سرویس سنتر سترای ال ال سی SERVICE CENTER ALLC,11900.0,Afghanistan,2019
شرکت استخراج معدن پارمیس گلوبل PARMIS GLOBAL MINING CO,27744.0,Afghanistan,2019
شرکت استخراج وپروسس سنگ عرفان غزنوی لمتید URFAN GHAZNAWI STONE PRO LTD,8070.0,Afghanistan,2019
شرکت امانیه مایننگ AMANIA MINING COMPANY,22774748.0,Afghanistan,2019
شرکت تولید سنګ مرمر  شمشاد رحمن SHAMSHAD RAHMAN TALC PRO.CO,624234.0,Afghanistan,2019
شرکت ذوب آهن کتلیست KATALEST IRON MINING CO,37961.0,Afghanistan,2019
شرکت ساختمانی احمدی احمد ربی,720.0,Afghanistan,2019
شرکت ساختمانی اریانا سازه,72000.0,Afghanistan,2019
شرکت ساختمانی و سرکسازی افغان صداقت,487980.0,Afghanistan,2019
شرکت ساختمانی کاوون سلطانی,131625.0,Afghanistan,2019
شرکت صنعتی کرومایت برادران BROTHERS CROMITE MINING CO,1650.0,Afghanistan,2019
شرکت مسعود حامد فقیرزاده,1612738.0,Afghanistan,2019
شرکت مسعودعارف فقیرزاده,122789.0,Afghanistan,2019
شهاب محبوب تالک اومرمرو استخراج اوپروسس شرکت SSHAHAB MEHBOOB TALC AND MARBLE EXTRACTION AND PROCESSING COMPANY,34108.0,Afghanistan,2019
"محمد  آگل ولد محمد امین, محمد آگل",195.0,Afghanistan,2019
"محمد عیسی ولد آغا گل, محمد عیسی",24704.0,Afghanistan,2019
"محمد یونس ولد محمد عیسی, محمد یونس",11704.0,Afghanistan,2019
نبی افغان دمعدن استخراج او پروسس شر کت NABI AFGHAN MINES EXTRACTION AND PROCESSING COMPANY,8783858.0,Afghanistan,2019
"واثق ولد ملنگ خان, واثق",48194.0,Afghanistan,2019
ANIO OIL&GAS SHA (ISH TRANS ATLANTIK ALBANIA LTD (ISHSTREAM OIL & GAS),166356745.0,Albania,2017
DITEKO SH.P.K,57085105.0,Albania,2017
ERVIN,0.0,Albania,2017
SHERWOOD INTERNATIONAL PETROLEUM LTD,38957699.0,Albania,2017
ZGURI SHPK,5234007.0,Albania,2017
“HIDROALBANIA ENERGJI” SHPK,30677706.0,Albania,2017
ERVIN,0.0,Albania,2018
BISSA GOLD SA,28541612869.0,Burkina Faso,2017
BURKINA MINING COMPANY SA (BMC),7904883852.0,Burkina Faso,2017
HOUNDE GOLD OPERATION SA,2930101476.0,Burkina Faso,2017
NANTOU MINING BURKINA FASO SA,4363530853.0,Burkina Faso,2017
NETIANA MINING COMPANY (NMC),1499699713.0,Burkina Faso,2017
ROXGOLD BURKINA FASO SARL,182480560.0,Burkina Faso,2017
ROXGOLD SANU SA,4673965741.0,Burkina Faso,2017
SEMAFO BOUNGOU SA,980719833.0,Burkina Faso,2017
SEMAFO BURKINA FASO SA,25787987976.0,Burkina Faso,2017
SOCIÉTÉ DES MINES DE SANBRADO SA,1320942827.0,Burkina Faso,2019
NETIANA MINING COMPANY (NMC),908900000.0,Burkina Faso,2020
SOCIÉTÉ DES MINES DE SANBRADO SA,9794640000.0,Burkina Faso,2020
AUTRES (SECTEUR ARTISANAL),2276630000.0,Cameroon,2017
AUTRES ACHETEURS,26609745413.0,Cote d'Ivoire,2017
AUTRES SOCIÉTÉS NON INCLUSES DANS LE PÉRIMÈTRE DE CONCILIATION,32227000000.0,Cote d'Ivoire,2017
LA MANCHA CI (FRANCE),135791793.0,Cote d'Ivoire,2017
LGL RESOURCES COTE D'IVOIRE,16885933.0,Cote d'Ivoire,2017
PERSEUS MINING CÔTE D'IVOIRE,847626755.0,Cote d'Ivoire,2017
SOCIETE DES MINES D'ITY (SMI),7069017463.0,Cote d'Ivoire,2017
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI),73584503514.0,Cote d'Ivoire,2017
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI),104175253.0,Cote d'Ivoire,2017
BONDOUKOU MANGANESE SA (INDE),525434534.0,Cote d'Ivoire,2018
COMPAGNIE MINIERE DU LITTORAL (CML),605133865.0,Cote d'Ivoire,2018
ENI IVORY COAST LIMITED,333148252.0,Cote d'Ivoire,2018
SOCIETE DES MINES D'ITY (SMI),6337466154.0,Cote d'Ivoire,2018
SOCIÉTÉ DES MINES DE TONGON,36445956272.0,Cote d'Ivoire,2018
CNMC CONGO COMPAGNIE MINIERE SARL (CNMC SARL),5594516.140000001,Democratic Republic of Congo,2017
TENGYUAN COBALT & COPPER RESOURCES LTD CO (TCC SAR),11630823.780000001,Democratic Republic of Congo,2017
BARRICK PUEBLO VIEJO DOMINICAN CORPORATION,9872556842.0,Dominican Republic,2018
AL WAHA PETROLEUM CO LTD,1126326657.0,Iraq,2017
CHINA INTERNATIONAL UNITED PETROLEUM AND CHEMICALS CO.LTD. (UNIPEC),6755379057.0,Iraq,2017
CHINA NATIONAL UNITED OIL CORPORATION (CHINA OIL),1403238844.0,Iraq,2017
DRAGON OIL LIMITED,26775899.0,Iraq,2017
EXXONMOBIL IRAQ LIMITED,341192470.0,Iraq,2017
GAZPROM NEFT BADRA BV,292735839.0,Iraq,2017
HINDUSTAN PETROLEUM CORPORATION LIMITED,1411603318.0,Iraq,2017
HPCL-MITTAL ENERGY LIMITED,752070451.0,Iraq,2017
INDIAN OIL CORPORATION LIMITED,5610819037.0,Iraq,2017
IPLOM INTERNATIONAL SA,239805232.0,Iraq,2017
MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY,103537650.0,Iraq,2017
MOTOR OIL (HELLAS) CORINTH REFINERIES SA,1099207789.0,Iraq,2017
PBF HOLDING COMPANY LLC,549484931.0,Iraq,2017
VALERO MARKETING AND SUPPLY COMPANY,1171555933.0,Iraq,2017
AL WAHA PETROLEUM CO LTD,628712909.0,Iraq,2018
CEPSA TRADING SAU,673273675.0,Iraq,2018
CHINA OFFSHORE OIL (SINGAPORE) INTERNATIONAL PTE LTD,759852463.0,Iraq,2018
EXXONMOBIL IRAQ LIMITED,329604903.0,Iraq,2018
GAZPROM NEFT BADRA BV,411431751.0,Iraq,2018
KAZMUNAYGAS TRADING AG (KMGT),67568169.0,Iraq,2018
KUWAIT ENERGY CO,80330888.0,Iraq,2018
MOTOR OIL (HELLAS) CORINTH REFINERIES SA,1560523767.0,Iraq,2018
ALPHA LOGGING & WOOD PROCESSING INC,1188917.0,Liberia,2018
CHEVRON LIBERIA C LIMITED,594319.0,Liberia,2018
FOREST VENTURE INC (FVI),250309.0,Liberia,2018
INTERNATIONAL CONSULTANT CAPITAL (ICC),3388224.0,Liberia,2018
LIBERIAN AGRICULTURAL COMPANY (LAC),826299.0,Liberia,2018
SIME DARBY PLANTATION LIB,317719.0,Liberia,2018
SING AFRICA PLANTATIONS LIBERIA INC,1006155.0,Liberia,2018
