Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
DAGON MINING COMPANY LIMITED,Private,104028462,Mining,Coal,,,116488009.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
DELCO LIMITED,Private,106646872,Mining,"Tin, Tungsten",,,99929250.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
DIAMOND SHARK MINING COMPANY LIMITED,Private,102404661,Mining,"Tin, Tungsten",,,48516000.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
DRAGON CEMENT COMPANY LIMITED,Private,117675386,Mining,"Coal, Limestone",,,1045294469.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Dana Thedi Star (Gem&Jwellery) Co.,Ltd",Private,"1065,2012-2013",Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Delta Land,Private,104724434,Mining,"Gem, Jade",,,176735526.15,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Directorate of Military office of Chief of Defence Industries, Ministry of Defence",Private,,Mining,"Iron, Coal, Limestone",,,15931840.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Duwon Star (Gem&Jwellery) Co.,Ltd",Private,"1064,2012-2013",Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
ENI Myanmar B.V. (Myanmar Branch),Private,134183292,Oil & Gas,"Oil, Gas, Condensates",,,1537052621.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
ETERNAL MINING COMPANY LIMITED,Private,107350594,Mining,Gold,,,722754100.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
EXCELLENT RUBY & SAPPHIRE,Private,113304022,Mining,"Gem, Jade",,,1450000.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Eden Energy & Natural Resources Development Co., Ltd",Private,118193601,Mining,Barite,,,4088050663.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Eden Group Co., Ltd",Private,,Oil & Gas,"Oil, Gas, Condensates",,,1166809392.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Ever Winner [EW],Private,102788486,Mining,"Gem, Jade",,,604255532.73,Myanmar,MMR,2018,4/1/2017,3/31/2018
FIRST RESOURCES COMPANY LIMITED,Private,101585220,Mining,Gypsum,,,1217930034.81,Myanmar,MMR,2018,4/1/2017,3/31/2018
Future Engineering Gold Mining,Private,"761,1998-1999",Mining,Gold,,,3000000.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Future Mining Co.,Ltd",Private,"761,1998-1999",Mining,Gold,,,6261244.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
GEO ASIA INDUSTRY & MINING COMPANY LIMITED,Private,116058790,Mining,Gold,,,190022684.33,Myanmar,MMR,2018,4/1/2017,3/31/2018
GPS JOINT VENTURE COMPANY LIMITED,Private,109035068,Mining,Lead,,,136528597.25,Myanmar,MMR,2018,4/1/2017,3/31/2018
GREEN ASIA COMPANY LIMITED,Private,129020334,Mining,"Coal, Limestone",,,6567200.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
GREEN MOUNTAIN CO;LTD,Private,137474379,Mining,"Gem, Jade",,,3284691377.81,Myanmar,MMR,2018,4/1/2017,3/31/2018
GREEN STRATEGIC MINING COMPANY LIMITED,Private,100706083,Mining,Quartz,,,6407600.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
GROUP OF FOUR MINING COMPANY LIMITED,Private,100430363,Mining,Coal,,,154371786.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Gail JJ India Ltd,Private,,Oil & Gas,"Oil, Gas, Condensates",,,500853775.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Gandawin Kyaut Myat Garden,Private,162206370,Mining,"Gem, Jade",,,55429078.98,Myanmar,MMR,2018,4/1/2017,3/31/2018
Global Sun Light,Private,102255585,Mining,"Gem, Jade",,,111441681.25,Myanmar,MMR,2018,4/1/2017,3/31/2018
Gold Jade,Private,101104931,Mining,"Gem, Jade",,,766109777.59,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Gold Petrol Joint Operating Company Inc., (GJOC Inc.)",Private,177 FC 97-98,Oil & Gas,"Oil, Gas, Condensates",,,-14343653638.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Goldend Light gems,Private,129792604,Mining,"Gem, Jade",,,266282415.66,Myanmar,MMR,2018,4/1/2017,3/31/2018
Great Genesis Gems (GMH),Private,1275806086,Mining,"Gem, Jade",,,5618216768.69,Myanmar,MMR,2018,4/1/2017,3/31/2018
Great wall Gems&Jade company,Private,111033986,Mining,"Gem, Jade",,,205405293.31,Myanmar,MMR,2018,4/1/2017,3/31/2018
Green Comet gems& Jade company,Private,188092349,Mining,"Gem, Jade",,,70823162.84,Myanmar,MMR,2018,4/1/2017,3/31/2018
Green Diamond Gems & Jewellery Co. Ltd,Private,102774922,Mining,"Gem, Jade",,,113228066.98,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Green Earth Gems Co., Ltd",Private,112434720,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
HARBOR STAR MINING COMPANY LIMITED,Private,110005199,Mining,"Copper, Lead, Zinc",,,353740016.95,Myanmar,MMR,2018,4/1/2017,3/31/2018
HEAY HEIN COMPANY LIMITED,Private,102961366,Mining,Coal,,,288376980.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"HERA Co.,ltd (Hee Ya Gems)",Private,100702312,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
HONG YENG YEE SHIN GEMS & JADE COMPANY LTD,Private,113631473,Mining,"Gem, Jade",,,66964958.2,Myanmar,MMR,2018,4/1/2017,3/31/2018
HTAR WA YA,Private,,Mining,,,,1843308057.84,Myanmar,MMR,2018,4/1/2017,3/31/2018
HTAT YEE LINN MINING & REFINERY COMPANY LIMITED,Private,103472008,Mining,Gold,,,33641002.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
HTAY FAMILY COMPANY LIMITED,Private,"3269,2016-17",Mining,Antimony,,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
HTAY PAING,Private,105130775,Mining,"Gem, Jade",,,67198906.16,Myanmar,MMR,2018,4/1/2017,3/31/2018
HTOO INTERNATIONAL INDUSTRY GROUP COMPANY LIMITED,Private,131415710,Mining,"Iron, Coal, Gypsum",,,606603830.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
HTUT KHAUNG KYAW MINING COMPANY LIMITED,Private,105552475,Mining,"Coal, Gold",,,39618218.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Hawk Star (Gem & Jewellery) Co.,Ltd",Private,"1069,2012-2013",Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Hein Aung Lin Htet Jade Co. Ltd,Private,111951209,Mining,"Gem, Jade",,,222427285.53,Myanmar,MMR,2018,4/1/2017,3/31/2018
Hole In One,Private,149493417,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Hpakan King Gems & Jewellery Co. Ltd,Private,"1455,2009-2010",Mining,"Gem, Jade",,,51667703.66,Myanmar,MMR,2018,4/1/2017,3/31/2018
Htat Aye Yar,Private,107652248,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Htun Tauk Zabu Gems & Jewellery Co;Ltd.,Private,101178919,Mining,"Gem, Jade",,,2850258601.33,Myanmar,MMR,2018,4/1/2017,3/31/2018
IGE Pte. Ltd.,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Innwa Nay Chi Co,Private,107341439,Mining,"Gem, Jade",,,91749814.44,Myanmar,MMR,2018,4/1/2017,3/31/2018
"IsTech Energy EP-5 Pte Ltd., (Myanmar Branch)",Private,105603525,Oil & Gas,"Oil, Gas, Condensates",,,881340.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
JUNE CEMENT INDUSTRY LTD.,Private,117418820,Mining,Granite,,,49003638.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Brothers,Private,115037854,Mining,"Gem, Jade",,,40056360.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Crystal Palace,Private,107791612,Mining,"Gem, Jade",,,6766920.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Land,Private,102449940,Mining,"Gem, Jade",,,991522.21,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Master,Private,115160419,Mining,"Gem, Jade",,,70425687.38,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Mountain,Private,176743174,Mining,"Gem, Jade",,,5425540465.52,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Jade Padatar Gems Co,Ltd",Private,115325728,Mining,"Gem, Jade",,,1357132252.65,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Pioneer Mining Limited,Private,102272692,Mining,"Gem, Jade",,,11438888.74,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Than Lwin,Private,115655183,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Jade Thapyae Co.,ltd",Private,114035033,Mining,"Gem, Jade",,,40507814.86,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Thazin,Private,113784563,Mining,"Gem, Jade",,,231221887.41,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jade Treasure,Private,105726791,Mining,"Gem, Jade",,,301163173.56,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jewel Crown Company,Private,105805837,Mining,"Gem, Jade",,,430499869.63,Myanmar,MMR,2018,4/1/2017,3/31/2018
Jubilant Oil & Gas Pte. Ltd.,Private,,Oil & Gas,"Oil, Gas, Condensates",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
KAN PWINT OO MINING COMPANY LIMITED,Private,110622678,Mining,Coal,,,264186549.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
KAYAH STATE MINERAL PRODUCTION COMPANY LIMITED,Private,111611327,Mining,"Tin, Tungsten",,,103166129.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
KHINE THIT SAR,Private,100833727,Mining,"Gem, Jade",,,43331610.02,Myanmar,MMR,2018,4/1/2017,3/31/2018
KYAN FAMILY,Private,104947204,Mining,"Gem, Jade",,,17404291.06,Myanmar,MMR,2018,4/1/2017,3/31/2018
KYAW NAING & BROTHERS,Private,151554474,Mining,"Gem, Jade",,,170221293.24,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kachin National Development,Private,112066055,Mining,"Gem, Jade",,,713201578.25,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kan Pwint Oo,Private,108440619,Mining,"Gem, Jade",,,6203345544.8,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kan Sein Pwint,Private,106369615,Mining,"Gem, Jade",,,5799379.69,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Kan Thar Yar Gems Co.,Ltd.",Private,109595225,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kanbawza Industries Ltd,Private,134879211,Mining,"Limestone, Coal, Gypsum",,,850561773.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Htet Khaing,Private,117705390,Mining,"Gem, Jade",,,61156967.8,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Htike,Private,102673077,Mining,"Gem, Jade",,,6810780.0,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Mon Yadanar,Private,103303893,Mining,"Gem, Jade",,,108777497.71,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Myat Thu Ka,Private,1005814935,Mining,"Gem, Jade",,,3559134693.57,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Su Aung,Private,107642706,Mining,"Gem, Jade",,,1614832188.68,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Swan Htet Co,Private,110392907,Mining,"Gem, Jade",,,1588986500.43,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Taw Myay,Private,105747071,Mining,"Gem, Jade",,,,Myanmar,MMR,2018,4/1/2017,3/31/2018
Kaung Wai Yan Co,Private,110033095,Mining,"Gem, Jade",,,167602381.08,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Khaing Lon Gems Co., Ltd",Private,116262495,Mining,"Gem, Jade",,,978313265.26,Myanmar,MMR,2018,4/1/2017,3/31/2018
"Khant Shwe Pyi Co.,Ltd",Private,102548493,Mining,"Gem, Jade",,,7204208550.8,Myanmar,MMR,2018,4/1/2017,3/31/2018
Khin Zaw Aung & Brother,Private,109567442,Mining,"Gem, Jade",,,3553324198.22,Myanmar,MMR,2018,4/1/2017,3/31/2018
Khine Myanmar,Private,161540552,Mining,"Gem, Jade",,,239649162.51,Myanmar,MMR,2018,4/1/2017,3/31/2018
Khun Paooe,Private,162307657,Mining,"Gem, Jade",,,5206466092.08,Myanmar,MMR,2018,4/1/2017,3/31/2018
