Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Ambatovy - DYNATEC MADAGASCAR S.A,PE n° 18584,DYNATEC MADAGASCAR S.A,Cobalt (2605),Production,3053.0,Tonnes,32602344.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
Ambatovy - DYNATEC MADAGASCAR S.A,PE n° 18584,DYNATEC MADAGASCAR S.A,Nickel (2604),Production,35473.0,Tonnes,392301233.0,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
OMV OFFSHORE MORONDAVA - ENERMAD,Bloc Grand Prix (34/07/TM),OMV OFFSHORE MORONDAVA,Crude oil (2709),Exploration,,Barrels,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
OYSTER MADAGASCAR LIMITED,Bloc 1101 - Antsiranana,OYSTER MADAGASCAR LIMITED,Crude oil (2709),Exploration,,Barrels,,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
SOCIETE LABRADOR MADAGASCAR SARL,PE n°94,SOCIETE LABRADOR MADAGASCAR SARL,Other (2617),Production,2439.71,Tonnes,649780.36,MGA,Madagascar,MDG,2017,1/1/2017,12/31/2017
