Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
"Area 498, 175,000 tpa, North Inner Gabbard",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 500/1-4, 850,000 tpa, South Wight",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 501, 3,000,000 tpa (mix), North Falls East",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 506, 800,000 tpa, Humber 4 & 7",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 507/1-6, 650,000 tpa, Shipwash",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 508, 750,000 tpa (mix), Longsand",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 509/1-3, 750,000 tpa, Longsand",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 510/1-2, 650,000 tpa, Longsand",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 511, 650,000 tpa, Lowestoft",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 512, 650,000 tpa, ex 251/454",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 513, 650,000 tpa, Lowestoft",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 514/1-4, 1,500,000 tpa, Humber",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 515, 2,250,000 tpa (mix), Outer Dowsing",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 522, E&OA, West Wight",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 524, E&OA, Thames D",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
"Area 526, 666,666 tpa, Culver Extension",Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Beryl Field,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Boulby,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Boulby (BG601908561),Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Brae,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Brent,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
