Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
"Subsoil use special permit No. 0371/Пол, dated 24.02.2015",0371/Пол,Natural resources PrJSC,Drinking waters,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1012, dated 29.07.1997",1012,Poltava Iron Ore Enrichment Works PrJSC,Iron (2601),Production,17287060.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1038, dated 08.12.1997",1038,Ukrnafta PJSC,Crude oil (2709),Production,19277.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1038, dated 08.12.1997",1038,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1038, dated 12.08.1997",1038,Ukrnafta PJSC,Water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Joint activity agreement of 24/12/1997 No. 999/97. Operator - Poltavanaftogaz NGDU of Ukrnafta PJSC (22525915),Condensate,Production,,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Joint activity agreement of 24/12/1997 No. 999/97. Operator - Poltavanaftogaz NGDU of Ukrnafta PJSC (22525915),Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Condensate,Production,,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Crude oil (2709),Production,2003.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1074, dated 23.09.1997",1074,Ukrnafta PJSC,Water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1075, dated 23.09.1997",1075,Ukrnafta PJSC,Condensate,Production,620.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1075, dated 23.09.1997",1075,Ukrnafta PJSC,Crude oil (2709),Production,,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1075, dated 23.09.1997",1075,Ukrnafta PJSC,Natural gas (2711),Production,4694000.0,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1118, dated 21.10.1997",1118,Nothern Iron Ore Enrichment Works PrJSC,Iron (2601),Production,21236000.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1119, dated 21.10.1997",1119,Nothern Iron Ore Enrichment Works PrJSC,Iron (2601),Production,6002000.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1222, dated 26.01.1998",1222,Ukrnafta PJSC,Crude oil (2709),Production,13.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1222, dated 26.01.1998",1222,Ukrnafta PJSC,Natural gas (2711),Production,9139000.0,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1222, dated 26.01.1998",1222,Ukrnafta PJSC,Produced water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1266, dated 03.10.1998",1266,Ukrnafta PJSC,Crude oil (2709),Production,266.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1266, dated 03.10.1998",1266,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1267, dated 03.10.1998",1267,Ukrnafta PJSC,Crude oil (2709),Production,3971.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1267, dated 03.10.1998",1267,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1268, dated 03.10.1998",1268,Ukrnafta PJSC,Condensate,Production,,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1268, dated 03.10.1998",1268,Ukrnafta PJSC,Crude oil (2709),Production,3413.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1268, dated 03.10.1998",1268,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1269, dated 03.10.1998",1269,Ukrnafta PJSC,Condensate,Production,12.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1269, dated 03.10.1998",1269,Ukrnafta PJSC,Crude oil (2709),Production,8585.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1269, dated 03.10.1998",1269,Ukrnafta PJSC,Natural gas (2711),Production,812000.0,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1269, dated 10.03.1998",1269,Ukrnafta PJSC,Water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1273, dated 03.10.1998",1273,Ukrnafta PJSC,Crude oil (2709),Production,7075.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1273, dated 03.10.1998",1273,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1273, dated 10.03.1998",1273,Ukrnafta PJSC,Produced water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1277, dated 26.03.1998",1277,Joint activity agreement of 24/12/1997 No. 999/97. Operator - Poltavanaftogaz NGDU of Ukrnafta PJSC (22525915),Condensate,Production,,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1277, dated 26.03.1998",1277,Joint activity agreement of 24/12/1997 No. 999/97. Operator - Poltavanaftogaz NGDU of Ukrnafta PJSC (22525915),Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1277, dated 26.03.1998",1277,Ukrnafta PJSC,Condensate,Production,2036.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1277, dated 26.03.1998",1277,Ukrnafta PJSC,Crude oil (2709),Production,423.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1277, dated 26.03.1998",1277,Ukrnafta PJSC,Natural gas (2711),Production,33587000.0,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1278, dated 26.03.1998",1278,Ukrnafta PJSC,Crude oil (2709),Production,11027.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1278, dated 26.03.1998",1278,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1278, dated 26.03.1998",1278,Ukrnafta PJSC,Water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1347, dated 30.04.1998",1347,Ukrnafta PJSC,Crude oil (2709),Production,143578.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1347, dated 30.04.1998",1347,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1347, dated 30.04.1998",1347,Ukrnafta PJSC,Water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1362, dated 13.05.1998",1362,Ukrnafta PJSC,Crude oil (2709),Production,29156.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1362, dated 13.05.1998",1362,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1362, dated 13.05.1998",1362,Ukrnafta PJSC,Water,Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1388, dated 25.05.1998",1388,Ukrnafta PJSC,Crude oil (2709),Production,18919.0,Tonnes,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
"Subsoil use special permit No. 1388, dated 25.05.1998",1388,Ukrnafta PJSC,Natural gas (2711),Production,,Sm3,,,Ukraine,UKR,2020,2020-01-01,2020-12-31
