Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
"Subsoil use special permit No. 1492, dated 10.10.2000",1492,Ukrgasvydobuvannya JSC,Natural gas (2711),Exploration,,,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1772, dated 05.03.1999",1772,Ukrgasvydobuvannya JSC,Condensate,Production,330.0,Tonnes,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1772, dated 05.03.1999",1772,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,16550000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1774, dated 16.03.1999",1774,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,1470000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1775, dated 16.03.1999",1775,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,16370000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1776, dated 16.03.1999",1776,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,310000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1777, dated 16.03.1999",1777,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,5290000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1778, dated 16.03.1999",1778,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,360000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1779, dated 16.03.1999",1779,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,1510000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1780, dated 16.03.1999",1780,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,1530000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1786, dated 16.03.1999",1786,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,18420000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1787, dated 16.03.1999",1787,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,2280000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
"Subsoil use special permit No. 1791, dated 24.03.1999",1791,Ukrgasvydobuvannya JSC,Natural gas (2711),Production,460000.0,Sm3,,,Ukraine,UKR,2018,2018-01-01,2018-12-31
