Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
"Ministry for Development of Economy, Trade and Agriculture of Ukraine",State government,37508596,28946371200.21,Ukraine,UKR,2018,2018/01/01,2018/12/31
State Customs Service of Ukraine,State government,43115923,19430513651.89,Ukraine,UKR,2018,2018/01/01,2018/12/31
State Tax Service of Ukraine,State government,43005393,130695811138.27,Ukraine,UKR,2018,2018/01/01,2018/12/31
The State Service of Geology and Subsoil of Ukraine (Derzhgeonadra),State government,37536031,658153085.0,Ukraine,UKR,2018,2018/01/01,2018/12/31
