Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Central Bank of Nigeria,Central goverment,Not available,10213093055.56,Nigeria,NGA,2017,1/1/2017,12/31/2017
Department of Petroleum Resources,Central goverment,Not available,2465947974.55,Nigeria,NGA,2017,1/1/2017,12/31/2017
Federal Inland Revenue Service,Central goverment,Not available,6305006083.27,Nigeria,NGA,2017,1/1/2017,12/31/2017
Mining Cadastral Office,Central goverment,Not available,998505.97,Nigeria,NGA,2017,1/1/2017,12/31/2017
Mining Inspectorate Division,Central goverment,Not available,4343624.65,Nigeria,NGA,2017,1/1/2017,12/31/2017
Niger Delta Development Commission,Other,Not available,545328071.31,Nigeria,NGA,2017,1/1/2017,12/31/2017
Nigeria - Sao Tome & Principe Joint Development Authority,Central goverment,Not available,,Nigeria,NGA,2017,1/1/2017,12/31/2017
Nigeria Content Development Monitoring Board,Central goverment,Not available,99609247.33,Nigeria,NGA,2017,1/1/2017,12/31/2017
Nigeria National Petroleum Corporation,State-owned enterprises & public corporations,Not available,933210229.58,Nigeria,NGA,2017,1/1/2017,12/31/2017
