Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Crown Estate Scotland (CES),State government,Not applicable,2113153.15,United Kingdom,GBR,2018,2018/01/01,2018/12/31
Her Majesty’s Revenue and Customs (HMRC),Central goverment,Not applicable,1134023476.62,United Kingdom,GBR,2018,2018/01/01,2018/12/31
Oil & Gas Authority (OGA),Other,9666504,88902775.62,United Kingdom,GBR,2018,2018/01/01,2018/12/31
The Crown Estate (TCE),State government,Not applicable,25174626.77,United Kingdom,GBR,2018,2018/01/01,2018/12/31
