Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Crown Estate Scotland (CES),State government,Not applicable,1662345.0,United Kingdom,GBR,2020,2020/01/01,2020/12/31
Her Majesty’s Revenue and Customs (HMRC),Central goverment,Not applicable,154698366.84,United Kingdom,GBR,2020,2020/01/01,2020/12/31
Oil & Gas Authority (OGA),Other,9666504,85022495.49,United Kingdom,GBR,2020,2020/01/01,2020/12/31
The Crown Estate (TCE),State government,Not applicable,24929599.75,United Kingdom,GBR,2020,2020/01/01,2020/12/31
