Full company name,Payments to Governments Report,Country,Year
SOCIÉTÉ NATIONALE D'OPÉRATIONS PETROLIÈRE DE COTE D'IVOIRE (PETROCI),73584503514,Cote d'Ivoire,2017
SOCIETE DES MINES D'ITY (S M I),7069017463,Cote d'Ivoire,2017
PERSEUS MINING CI,847626755,Cote d'Ivoire,2017
LGL RESOURCE CI,16885933,Cote d'Ivoire,2017
SOCIÉTÉ POUR LE DEVÉLOPPEMENT MINIER DE LA COTE D'IVOIRE (SODEMI),104175253,Cote d'Ivoire,2017
ENI IVORY COAST LTD,333148252,Cote d'Ivoire,2018
SOCIETE DES MINES DE TONGON,36445956272,Cote d'Ivoire,2018
SOCIETE DES MINES D'ITY,6337466154,Cote d'Ivoire,2018
COMPAGNIE MINIERE DU LITTORAL,605133865,Cote d'Ivoire,2018
BONDOUKOU MANGANESE SA,525434534,Cote d'Ivoire,2018
CNMC CONGO COMPAGNIE MINIERE SARL(CNMC SARL),2797258.14,Democratic Republic of Congo,2017
"TENGYUAN COBALT & COPPER RESOURCES LTD., CO.( TCC. SAR)",5815411.78,Democratic Republic of Congo,2017
"BENGUETCORP NICKEL MINES, INC.",24569767.68,Philippines,2018
ENI CONGO,89061143726,Republic of the Congo,2017
SOCIÉTÉ DES PÉTROLES DU SÉNÉGAL (PETROSEN.SA),371034720,Senegal,2018
LA SOCIÉTÉ DES MINES DE FER DU SÉNÉGAL ORIENTAL,-,Senegal,2018
SABODALA GOLD OPERATIONS - SGO,16241489837.72,Senegal,2018
CIMENTS DU SAHEL - CDS,18559251105,Senegal,2018
GRANDE CÔTE OPÉRATIONS - GCO,8007005014,Senegal,2018
SOCIÉTÉ SÉNÉGALAISE DES PHOSPHATES DE THIÈS - SSPT,349326759,Senegal,2018
INDUSTRIES CHIMIQUES DU SÉNÉGAL - ICS,483608338,Senegal,2018
SOCIÉTÉ MINIÈRE DE LA VALLÉE DU FLEUVE SÉNÉGAL – SOMIVA,507328796,Senegal,2018
PETOWAL MINING COMPANY S.A.,3741277120,Senegal,2018
SABODALA MINING COMPANY,89490250,Senegal,2018
SEPHOS SENEGAL SA,118862346,Senegal,2018
COMPAGNIE GÉNÉRALE D'EXPLOITATION DE CARRIÈRE - COGECA,4644238825,Senegal,2018
"SOCIÉTÉ POUR LE DÉVELOPPEMENT DE L'INDUSTRIE, DU TOURISME ET DE L'HABITAT AU SÉNÉGAL - SODEVIT",1391236150,Senegal,2018
ORANTO PETROLEUM (ORANTO),235851585,Senegal,2019
TOTAL E&P SENEGAL (TOTAL E&P),9556300615,Senegal,2019
BP SENEGAL INVESTMENTS LIMITED (BP SENEGAL),3525893891,Senegal,2019
DANGOTE INDUSTRIES SÉNÉGAL SA (DANGOTE),14783203786,Senegal,2019
AGEM SÉNÉGAL EXPLORATION SUARL (AGEM),432748292,Senegal,2019
"REPSOL EXPLORACIÓN MÉXICO, S.A. DE C.V.",2407200.71,Mexico,2017
"REPSOL EXPLORACIÓN MÉXICO, S.A. DE C.V.",110210143.12,Mexico,2018
REPSOL EXPLORACIÓN MÉXICO,181501159,Mexico,2018
DONG SHENG PETROLEUM MONGOLIA LLC,12654203000,Mongolia,2018
COMMONMAKS LLC,300943000,Mongolia,2018
METALL OPT LLC,2275337000,Mongolia,2018
MONGOLBASALT JSC,705000,Mongolia,2018
MONGOLJUYANLI LLC,1547935000,Mongolia,2018
REDVULCAN COLTD LLC,136582000,Mongolia,2018
C.O.A.L LLC,27315410000,Mongolia,2018
SPECIALMINES/NARAN MANDAL ENTERPRISES SC,983997000,Mongolia,2018
TAVAN TOLGOI JSC,177143513000,Mongolia,2018
CHINGISIIN KHAR ALT LLC,706253000,Mongolia,2018
SHAN LUN LLC,401439000,Mongolia,2018
SHARYN GOL JSC,6061724000,Mongolia,2018
ERDENE MONGOL LLC,347763000,Mongolia,2018
MONGOLYN ALT MAK LLC,184449980000,Mongolia,2018
ERDENES TAVAN TOLGOI JSC,416328509000,Mongolia,2018
VOYAGER MINERAL RESOURCES,637726561.02,Mongolia,2019
UGUUJBAYN KHANGAI LLC,379327001.9,Mongolia,2019
JAVHLANT ORD LLC,4099576814.77,Mongolia,2019
ILTGOLD LLC,1242236506.45,Mongolia,2019
MONGOLZCECHMETALL LLC,688424904.99,Mongolia,2019
PETROCHINA DAQING TAMTSAG LLC,281681512337.34,Mongolia,2019
REDVULCAN CO.LTD,329134077.03,Mongolia,2019
CENTERTA GOLD MONGOLIA LLC,423015496.29,Mongolia,2019
TODUNDRAGA LLC,3590283630.74,Mongolia,2019
UULSZAAMAR LLC,7275938620.77,Mongolia,2019
TSAIRTMINERAL LLC,70211790920.01,Mongolia,2019
ERDENE MONGOL LLC,388381943.28,Mongolia,2019
ERDENES TAVAN TOLGOI JSC,710293415814.05,Mongolia,2019
ERDENET MINING CORPORATION,949589598818.01,Mongolia,2019
BAYAN AIRAG EXPLORATION,3808699.29,Mongolia,2020
BAYANGOL ECO ZAAMAR,275889.16,Mongolia,2020
BURDEL MINING,8409365.92,Mongolia,2020
VOYAGER MINERAL RESOURCES,476513.64,Mongolia,2020
UGUUJ BAYANKHANGAI,135462.2,Mongolia,2020
GOLDEN HAMMER,376183.79,Mongolia,2020
DRAPER CAPITAL MONGOLIA,107707.87,Mongolia,2020
ILT GOLD,220949.48,Mongolia,2020
IKH UNDRAGA MINING,113682.9,Mongolia,2020
MONGOLROSTZVETMET (SOE),16699509.72,Mongolia,2020
MONPOLIMET,918934.04,Mongolia,2020
PLATINUMLAND,520355.85,Mongolia,2020
RED VULCAN,248494.86,Mongolia,2020
SOUTHGOBI SANDS,16041030.99,Mongolia,2020
CENTERRA GOLD MONGOLIA,148750.78,Mongolia,2020
SONOR TRADE,323017.76,Mongolia,2020
SPECIAL MINTS/NARAN MANDAL ENTERPRISES,1480984.59,Mongolia,2020
TOD UNDRAGA,779590.95,Mongolia,2020
TERGUUN MINING,338516.71,Mongolia,2020
UULS-NOYON,101576.23,Mongolia,2020
KHANGAD EXPLORATION,5078938.44,Mongolia,2020
KHUREN TOLGOI COAL MINING,15572503.29,Mongolia,2020
KHUKH BURDNII EKH,139661.86,Mongolia,2020
ENERGY RESOURCES,63956346.63,Mongolia,2020
ERDENE MONGOL,259969.28,Mongolia,2020
ERDENES TAVAN TOLGOI,164547794,Mongolia,2020
ERDENES TSAGAAN SUVARGA,437702.13,Mongolia,2020
UNIVERSAL COPPER,113413.32,Mongolia,2020
VOLTIC TOGO,118065688,Togo,2017
TOGO CARRIERE,227674594,Togo,2017
TOGOLAISE DES GRANDS CAOUS (TGC SA),110397818,Togo,2017
ADDAX PETROLEUM DEVELOPMENT NIGERIA LIMITED(APDNL),73783297.42,Nigeria,2017
ASHPHALT UNITY CONST. LTD,329455.66,Nigeria,2017
BRASOIL OIL SERVICES COMPANY NIGERIA LIMITED (BRASOIL),4233755.53,Nigeria,2017
BUA INTERNATIONAL LTD,265732.52,Nigeria,2017
C.G.C NIGERIA LTD,4788304.24,Nigeria,2017
CNC MINING COMPANY LTD,91599.7,Nigeria,2017
CONTINENTAL OIL AND GAS LIMITED,22279874,Nigeria,2017
CRUSHED ROCK INDUSTRIES (NIG) LTD,45454.2,Nigeria,2017
DANTATA & SAWOA NIG. LTD.,268893.75,Nigeria,2017
E.B.H GRANITE LTD,21461.88,Nigeria,2017
INORGANIC EARTH RESOURCE,29644.91,Nigeria,2017
LAKE PETROLEUM LTD,19122.33,Nigeria,2017
MERCURY MINING & INVEST. LTD.,42210.77,Nigeria,2017
MOTHER CAT LIMITED,429304.14,Nigeria,2017
NIGERIA NATIONAL PETROLEUM CORPORATION,10188981458.27,Nigeria,2017
OANDO QUA IBO LIMITED,,Nigeria,2017
OFL MARBLE & GRANITE LTD,27331.25,Nigeria,2017
PIONEER SINOCHINO INV. VENTURES,19194.89,Nigeria,2017
RATCON CONSTRUCTION CO. LTD,13867126.73,Nigeria,2017
SETRACO NIG. LIMITED,1270056.19,Nigeria,2017
TRIACTA NIG.,296184.42,Nigeria,2017
VENUS MINING,33295.71,Nigeria,2017
WODA MOUNTAIN INVESTMENT LTD.,76919.16,Nigeria,2017
Z&Y INVESTMENT COMPANY,36705.43,Nigeria,2017
ZHONG XING MINING INVESTMENT LTD,38591.26,Nigeria,2017
CCECC NIGERIA LTD.,8251321.34,Nigeria,2018
CONROK NIG. LTD,21473.34,Nigeria,2018
DANGOTE CEMENT PLC,102833316.6,Nigeria,2018
LEVANT CONSTRUCTION LIMITED.,491092.38,Nigeria,2018
REYNOLDS CONSTRUCTION COMPANY (NIG.) LTD.,11285278.86,Nigeria,2018
SINO MINMETALS COMPANY LTD,56217.34,Nigeria,2018
TONGYI ALLIED MINING LTD,11218.33,Nigeria,2018
WEST AFIRCAN MINING CO LTD,28420.13,Nigeria,2018
Z & Y INVESTMENT COMPANY LIMITED,47719.64,Nigeria,2018
ZHONG TAI MINING (NIG.) LTD,31870.27,Nigeria,2018
ADDAX PETROLEUM EXPLORATION NIGERIA LIMITED,51094917.97,Nigeria,2018
AITEO EASTERN E&P CO. LIMITED,110115387.69,Nigeria,2018
BRITTANIA U-NIGERIA,1600037.29,Nigeria,2018
CHEVRON NIGERIA LIMITED,929386281.24,Nigeria,2018
CONOIL PRODUCING LTD,10187767,Nigeria,2018
EXCEL EXPLORATION & PRODUCTION LIMITED,614343.14,Nigeria,2018
FIRST HYDROCARBON NIGERIA,292827.94,Nigeria,2018
GREEN ENERGY INTERNATIONAL LIMITED,3222933.19,Nigeria,2018
MOBIL PRODUCING NIGERIA UNLIMITED,2370948463.89,Nigeria,2018
NEWCROSS LIMITED,2123217.07,Nigeria,2018
NIGER DELTA PETROLEUM RESOURCES LIMITED,70165314.95,Nigeria,2018
NIGERIA AGIP OIL CO LIMITED (NAOC),500256611.19,Nigeria,2018
NIGERIA PETROLEUM DEVELOPMENT COMPANY LIMITED,1153671825.55,Nigeria,2018
SOUTH ATLANTIC PETROLEUM LIMITED,34919805.88,Nigeria,2018
STERLING OIL E&P PRODUCTION CO LIMITED,197880901.14,Nigeria,2018
TOTAL EXPLORATION & PRODUCTION NIGERIA LIMITED,1366227452.33,Nigeria,2018
TOTAL UPSTREAM NIG LIMITED,293588302.28,Nigeria,2018
UNIVERSAL ENERGY LIMITED,2592412.42,Nigeria,2018
WALTERSMITH PETROMAN,8981888.39,Nigeria,2018
AKER BP AS,444683310,Norway,2017
OKEA AS,-3756094,Norway,2017
AKER BP AS,-13071849000,Norway,2018
OKEA AS,-11390000,Norway,2018
OTHER COMPANIER - NON-RIGHT HOLDERS,667520000,Norway,2019
SOCIETE LABRADOR MADAGASCAR SARL,685751130.81,Madagascar,2017
INTERNATIONAL CONSULTANT CAPITAL ICC,3561366,Liberia,2018
LIBERIAN AGRICULTURAL COMPANY (L.A.C.),1934775,Liberia,2018
ALPHA LOGGING & WOOD PROCESSING INC.,1206754,Liberia,2018
SIME DARBY PLANTATION,1483983,Liberia,2018
FOREST VENTURE INC. (FVI),387150,Liberia,2018
"SING AFRICA PLANTATIONS LIBERIA,INC",1044781,Liberia,2018
CHEVRON LIBERIA,676224,Liberia,2018
LIBERIAN AGRICULTURAL COMPANY,762409.72,Liberia,2019
MARYLAND OIL PALM PLANTATION,273117.94,Liberia,2019
"BEA MOUNTAIN MINING, INC.",4167754.31,Liberia,2019
MANDRA FORESTRY,1492147.57,Liberia,2019
"SING AFRICA PLANTATIONS LIBERIA, INC",518536.62,Liberia,2019
FOREST VENTURE.,450715.5,Liberia,2019
AL WAHA PETROLEUM CO. LTD,1126326657,Iraq,2017
CHINA INTERNATIONAL (UNIPEC ASIA CO. LTD),6755379057,Iraq,2017
CHINA NATIONL UNITED OIL CORPORATION (CHINA OIL),1403238844,Iraq,2017
DRAGON OIL LIMITED (BLOCK 9),26775899,Iraq,2017
EXXONMOBIL IRAQ LTD,341192470,Iraq,2017
GASPROM NEFT BADRA B.V.,292735839,Iraq,2017
HINDUSTAN PETROLEUM CORPORATION LTD. – INDIA,1411603318,Iraq,2017
HPCL - MITTAL ENERGY LIMITED,752070451,Iraq,2017
INDIAN OIL CORPORATION,5610819037,Iraq,2017
IPLOM INTERNATIONAL S.A.,239805232,Iraq,2017
MOL HUNGARIAN OIL & GAS PLC,103537650,Iraq,2017
MOTOR OIL HELLAS CORINTH REFINERIES S.A,1099207789,Iraq,2017
PBF HOLDING COMPANY,549484931,Iraq,2017
VALERO MARKETING & SUPPLY CO.,1171555933,Iraq,2017
