Full name of agency,Total reported,Country,Year
AUTRES BÉNÉFICIAIRES (PAIEMENTS SOCIAUX),1144562241.0,Burkina Faso,2019
BUREAU DES MINES ET DE LA GÉOLOGIE DU BURKINA (BUMIGEB),12960835.0,Burkina Faso,2019
DIRECTION GÉNÉRALE DES DOUANES (DGD),58933085896.0,Burkina Faso,2019
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),-24375904992.0,Burkina Faso,2019
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),73806693186.0,Burkina Faso,2019
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE) (PAIEMENTS ENVIRONNEMENTAUX),4263702851.0,Burkina Faso,2019
OFFICE NATIONAL DE SÉCURISATION DES SITES MINIERS (ONASSIM),318000000.0,Burkina Faso,2019
SOCIÉTÉ D'EXPLOITATION DES PHOSPHATES DU BURKINA (SEPB),16167700.0,Burkina Faso,2019
AGENCE DE L'EAU,2007363783.0,Burkina Faso,2020
AGENCE NATIONALE DES ÉVALUATIONS ENVIRONNEMENTALES (ANEVE),136270436.0,Burkina Faso,2020
AGENCE NATIONALE D’ENCADREMENT DES EXPLOITATIONS MINIÈRES ARTISANALES ET SEMI-MÉCANISÉES (ANEEMAS),37670296.0,Burkina Faso,2020
AUTRES BÉNÉFICIAIRES (PAIEMENTS SOCIAUX),2007363783.0,Burkina Faso,2020
BUREAU DES MINES ET DE LA GÉOLOGIE DU BURKINA (BUMIGEB),38183378.0,Burkina Faso,2020
DIRECTION GÉNÉRALE DES DOUANES (DGD),67000662298.0,Burkina Faso,2020
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),95939085580.0,Burkina Faso,2020
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),56739697798.0,Burkina Faso,2020
FONDS D'INTERVENTION POUR L'ENVIRONNEMENT (FIE),19234237714.0,Burkina Faso,2020
OFFICE NATIONAL DE SÉCURISATION DES SITES MINIERS (ONASSIM),408000000.0,Burkina Faso,2020
SOCIÉTÉ D'EXPLOITATION DES PHOSPHATES DU BURKINA (SEPB),236511688.0,Burkina Faso,2020
CAISSE NATIONALE DE PRÉVOYANCE SOCIALE (CNPS),4563105799.97,Cameroon,2017
CAPAM,0.0,Cameroon,2017
DIRECTION GÉNÉRALE DES DOUANES (DGD),35303352443.0,Cameroon,2017
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),86611173620.75,Cameroon,2017
"DIRECTION GÉNÉRALE DU TRÉSOR, DE LA COOPÉRATION FINANCIÈRE ET MONÉTAIRE (DGTCFM)",319433571867.0,Cameroon,2017
MINISTÈRE EN CHARGE DES MINES,93003642.0,Cameroon,2017
SOCIÉTÉ NATIONALE DES HYDROCARBURES (SNH),-17629951825.0,Cameroon,2017
SOCIÉTÉ NATIONALE D’INVESTISSEMENT DU CAMEROUN (SNI),539200395.0,Cameroon,2017
AUTORITÉ DE RÉGULATION DU SECTEUR PÉTROLIER AVAL DU TCHAD (ARSAT),0.0,Chad,2017
CAISSE NATIONALE DE PRÉVOYANCE SOCIALE (CNPS),0.0,Chad,2017
COMMUNE DE DOBA,0.0,Chad,2017
COMMUNE DE KOUDALWA,0.0,Chad,2017
DIRECTION GÉNÉRALE DES SERVICES DE DOUANES ET DES DROITS INDIRECTS (DGSDDI),0.0,Chad,2017
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),145510077.0,Chad,2017
DIRECTION GÉNÉRALE TECHNIQUE DE PÉTROLE (DGTP),4449474.0,Chad,2017
DIRECTION GÉNÉRALE TECHNIQUE DES MINES (DGTM),51575.0,Chad,2017
MINISTÈRE DES FINANCES,0.0,Chad,2017
SOCIÉTÉ DES HYDROCARBURES DU TCHAD (SHT),397437282.0,Chad,2017
AUTORITÉ DE RÉGULATION DU SECTEUR PÉTROLIER AVAL DU TCHAD (ARSAT),0.0,Chad,2018
CAISSE NATIONALE DE PRÉVOYANCE SOCIALE (CNPS),0.0,Chad,2018
COMMUNE DE DOBA,0.0,Chad,2018
COMMUNE DE KOUDALWA,0.0,Chad,2018
DIRECTION GÉNÉRALE DES SERVICES DE DOUANES ET DES DROITS INDIRECTS (DGSDDI),0.0,Chad,2018
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),316949335.62,Chad,2018
DIRECTION GÉNÉRALE TECHNIQUE DE PÉTROLE (DGTP),5440559.0,Chad,2018
DIRECTION GÉNÉRALE TECHNIQUE DES MINES (DGTM),96283.0,Chad,2018
MINISTÈRE DES FINANCES,0.0,Chad,2018
SOCIÉTÉ DES HYDROCARBURES DU TCHAD (SHT),680650556.23,Chad,2018
SOCIÉTÉ NATIONALE DES MINES ET DE LA GÉOLOGIE (SONAMIG),0.0,Chad,2018
AUTRES,75657609.0,Cote d'Ivoire,2017
DIRECTION DES PARTICIPATIONS ET DE LA PRIVATISATION (DPP),0.0,Cote d'Ivoire,2017
DIRECTION GÉNÉRALE DES DOUANES (DGD),10821301436.0,Cote d'Ivoire,2017
DIRECTION GÉNÉRALE DES HYDROCARBURES (DGH),2396921390.0,Cote d'Ivoire,2017
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),108131178092.0,Cote d'Ivoire,2017
DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),10344216064.0,Cote d'Ivoire,2017
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),9354000000.0,Cote d'Ivoire,2017
OTHERS,0.0,Cote d'Ivoire,2017
SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE COTE D'IVOIRE (PETROCI),107485996398.0,Cote d'Ivoire,2017
SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA COTE D'IVOIRE (SODEMI),33078242200.0,Cote d'Ivoire,2017
DIRECTION DES PARTICIPATIONS ET DE LA PRIVATISATION (DPP),0.0,Cote d'Ivoire,2018
DIRECTION GÉNÉRALE DES DOUANES (DGD),13425615733.0,Cote d'Ivoire,2018
DIRECTION GÉNÉRALE DES HYDROCARBURES (DGH),2674420060.0,Cote d'Ivoire,2018
DIRECTION GÉNÉRALE DES IMPÔTS (DGI),97972786388.0,Cote d'Ivoire,2018
DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),5097681772.0,Cote d'Ivoire,2018
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),16900563354.0,Cote d'Ivoire,2018
