Full name of agency,Total reported,Country,Year
DIRECTION DES GRANDES ENTREPRISES (DGE),170834838976.0,Mali,2017
DIRECTION GÉNÉRALE DE LA DOUANE (DGD),51435524990.0,Mali,2017
DIRECTION NATIONALE DE LA GÉOLOGIE ET DES MINES (DNGM),948510819.0,Mali,2017
DIRECTION NATIONALE DES DOMAINES ET DU CADASTRE (DNDC),38570287913.0,Mali,2017
DIRECTIONS RÉGIONALES DES IMPÔTS (DRI),5848488900.0,Mali,2017
INSTITUT NATIONAL DE PRÉVOYANCE SOCIALE (INPS),29059963551.0,Mali,2017
AUTORITÉ POUR LA PROMOTION DE LA RECHERCHE PÉTROLIÈRE (AUREP),232935000.0,Mali,2018
DIRECTION DES GRANDES ENTREPRISES (DGE),148649504515.0,Mali,2018
DIRECTION GÉNÉRALE DE LA DOUANE (DGD),45944400148.0,Mali,2018
DIRECTION NATIONALE DE LA GÉOLOGIE ET DES MINES (DNGM),789176458.0,Mali,2018
DIRECTION NATIONALE DES DOMAINES ET DU CADASTRE (DNDC),34379583649.0,Mali,2018
DIRECTIONS RÉGIONALES DES IMPÔTS (DRI),7628729705.0,Mali,2018
INSTITUT NATIONAL DE PRÉVOYANCE SOCIALE (INPS),27179037599.0,Mali,2018
BANQUE CENTRALE DE MAURITANIE (BCM),0.0,Mauritania,2017
DIRECTION DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),68631563991.39,Mauritania,2017
DIRECTION GÉNÉRALE DES DOUANES (DGD),0.0,Mauritania,2017
DIRECTION GÉNÉRALE DES MINES (DGM),0.0,Mauritania,2017
SOCIÉTÉ MAURITANIENNE DES HYDROCARBURES ET DU PATRIMOINE MINIER (SMHPM),0.0,Mauritania,2017
SOCIÉTÉ NATIONALE INDUSTRIELLE ET MINIÈRE (SNIM),0.0,Mauritania,2017
FONDO MEXICANO DEL PETRÓLEO,439057497616.18,Mexico,2017
NON-DISAGGREGATED REVENUE FLOWS,0.0,Mexico,2017
SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,34419490452.0,Mexico,2017
FONDO MEXICANO DEL PETRÓLEO,548675000000.0,Mexico,2018
NON-DISAGGREGATED REVENUE FLOWS,0.0,Mexico,2018
SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,46912800000.0,Mexico,2018
GENERAL AGENCY FOR HEALTH AND SOCIAL INSURANCE,205917599000.0,Mongolia,2018
GENERAL AGENCY FOR LABOR WELFARE SERVICES,13761855000.0,Mongolia,2018
GENERAL DEPARTMENT OF TAXATION,1811753990000.0,Mongolia,2018
GOVERNMENT AGENCY FOR POLICY COORDINATION ON STATE PROPERTY,35287247000.0,Mongolia,2018
LOCAL ADMINISTRATIVE,67057991000.0,Mongolia,2018
LOCAL GOVERNOR DEPARTMENT,86132915000.0,Mongolia,2018
MINERAL RESOURCES AND PETROLEUM AUTHORITY,282788326000.0,Mongolia,2018
"MINISTRY OF ENVIRONMENT, NATURE AND TOURISM",531930000.0,Mongolia,2018
MINISTRY OF FINANCE,0.0,Mongolia,2018
MONGOLIAN CUSTOMS GENERAL ADMINISTRATION,247505544000.0,Mongolia,2018
OTHER,87964991587.0,Mongolia,2018
STATE ADMINISTRATIVE BODY,22945310000.0,Mongolia,2018
CUSTOMS GENERAL ADMINISTRATION,317521119816.12,Mongolia,2019
DONATIONS AND SUPPORTS RECEIVED BY GOVERNMENT ENTITIES,34545143529.0,Mongolia,2019
GENERAL DEPARTMENT OF TAXATION,2477732212692.82,Mongolia,2019
MINERAL RESOURCES AND PETROLEUM AUTHORITY OF MONGOLIA,314711389427.2,Mongolia,2019
MINISTRY OF ENVIRONMENT AND TOURISM,1466557207.74,Mongolia,2019
MINISTRY OF FINANCE,152939883876.0,Mongolia,2019
MINISTRY OF LABOR AND SOCIAL PROTECTION,21533255509.0,Mongolia,2019
OTHER,51191621914.0,Mongolia,2019
SOCIAL INSURANCE GENERAL OFFICE,290944218122.0,Mongolia,2019
SUBNATIONAL LEVEL,135862946415.9,Mongolia,2019
CUSTOMS GENERAL ADMINISTRATION,268344475115.0,Mongolia,2020
GENERAL DEPARTMENT OF TAXATION,2136383403372.0,Mongolia,2020
MINERAL RESOURCES AND PETROLEUM AUTHORITY OF MONGOLIA,139067763634.0,Mongolia,2020
MINISTRY OF FINANCE,155040000000.0,Mongolia,2020
MINISTRY OF LABOR AND SOCIAL PROTECTION,9935697521.0,Mongolia,2020
OTHER,56774248093.0,Mongolia,2020
SOCIAL INSURANCE GENERAL OFFICE,310650928295.0,Mongolia,2020
SUBNATIONAL LEVEL,146920384182.0,Mongolia,2020
"EMPRESA NACIONAL DE HIDROCARBONETOS, EP (ENH)",3527636.7,Mozambique,2019
INSTITUTE FOR MANAGEMENT OF STATE SHAREHOLDINGS,530648972.46,Mozambique,2019
NATIONAL MINING INSTITUTE,7000.0,Mozambique,2019
NATIONAL PETROLEUM INSTITUTE,7250000.0,Mozambique,2019
TAX REVENUE AUTHORITY,14555787109.92,Mozambique,2019
DEPARTMENT OF GEOLOGICAL SURVEY AND MINERAL EXPLORATION (DGSE),5000000.0,Myanmar,2018
DEPARTMENT OF MINES (DOM),6017598697.0,Myanmar,2018
DEPARTMENT OF TRADING (DOT),4559476231.0,Myanmar,2018
FOREST DEPARTMENT (FD),485383972.0,Myanmar,2018
INTERNAL REVENUE DEPARTMENT (IRD),353671807113.0,Myanmar,2018
ME1 & ME2,17742038531.58,Myanmar,2018
MYANMAR CUSTOMS DEPARTMENT (MCD),11274258886.0,Myanmar,2018
MYANMAR GEMS ENTERPRISE,376156967920.06,Myanmar,2018
MYANMAR OIL AND GAS ENTERPRISE,1145387244121.0,Myanmar,2018
MYANMAR PEARL ENTREPRISE,45030000.0,Myanmar,2018
CENTRAL BANK OF NIGERIA,10213093055.27,Nigeria,2017
DEPARTMENT OF PETROLEUM RESOURCES,2465947973.82,Nigeria,2017
FEDERAL INLAND REVENUE SERVICE,6305006083.77,Nigeria,2017
MINING CADASTRAL OFFICE,998505.3600000001,Nigeria,2017
MINING INSPECTORATE DIVISION,4343624.23,Nigeria,2017
NIGER DELTA DEVELOPMENT COMMISSION,545328071.0,Nigeria,2017
NIGERIA - SAO TOME & PRINCIPE JOINT DEVELOPMENT AUTHORITY,0.0,Nigeria,2017
NIGERIA CONTENT DEVELOPMENT MONITORING BOARD,99609247.0,Nigeria,2017
NIGERIA NATIONAL PETROLEUM CORPORATION,933210229.58,Nigeria,2017
DEPARTMENT OF PETROLEUM RESOURCES,4937289764.96,Nigeria,2018
FEDERAL INLAND REVENUE SERVICE,65688955017.46,Nigeria,2018
FEDERAL INLAND REVENUE SERVICE (FOR OIL & GAS),9082224200.64,Nigeria,2018
FEDERAL MINISTRY OF FINANCE,37043081.9,Nigeria,2018
MINES INSPECTORATE DEPARTMENT,2210768006.0,Nigeria,2018
MINING CADASTRAL OFFICE,1571099265.0,Nigeria,2018
NIGER DELTA DEVELOPMENT COMMISSION,683383325.73,Nigeria,2018
NIGERIAN CONTENT DEVELOPMENT AND MONITORING BOARD (NCDMB),160010089.26,Nigeria,2018
NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC),17726083402.15,Nigeria,2018
DIRECTORATE OF CUSTOMS AND EXCISE,6555000.0,Norway,2017
NORWEGIAN CENTRAL BANK,95555000000.0,Norway,2017
THE NORWEGIAN PETROLEUM DIRECTORATE,6121125000.0,Norway,2017
THE NORWEGIAN TAX DIRECTORATE,65049094722.0,Norway,2017
DIRECTORATE OF CUSTOMS AND EXCISE,402000.0,Norway,2018
NORWEGIAN CENTRAL BANK,134650000000.0,Norway,2018
THE NORWEGIAN PETROLEUM DIRECTORATE,6972465000.0,Norway,2018
THE NORWEGIAN TAX DIRECTORATE,110313492000.0,Norway,2018
EQUINOR,20057000000.0,Norway,2019
NORWEGIAN CENTRAL BANK,0.0,Norway,2019
PETORO,96478000000.0,Norway,2019
THE NORWEGIAN PETROLEUM DIRECTORATE,6875860000.0,Norway,2019
THE NORWEGIAN TAX ADMINISTRATION,135217191350.0,Norway,2019
BUREAU OF CUSTOMS (BOC),2322669697.0,Philippines,2018
BUREAU OF INTERNAL REVENUE (BIR),26343601789.75,Philippines,2018
BUREAU OF LOCAL GOVERNMENT AND FINANCE (BLGF),1046379176.06,Philippines,2018
DEPARTMENT OF BUDGET AND MANAGEMENT (DBM),0.0,Philippines,2018
DEPARTMENT OF ENERGEY (DOE),29578003901.61,Philippines,2018
MINES AND GEOSCIENCES BUREAU (MGB),1187312323.37,Philippines,2018
NATIONAL COMMISSION ON INDIGENOUS PEOPLE (NCIP),58010632.42,Philippines,2018
PHILIPPINE PORTS AUTHORITY (PPA),278761471.04,Philippines,2018
DIRECTION DES RESSOURCES NATURELLES (DRN),0.0,Republic of the Congo,2017
DIRECTION GÉNÉRALE DES DOUANES ET DES DROITS INDIRECTS (DGDDI),17328093647.0,Republic of the Congo,2017
DIRECTION GÉNÉRALE DES HYDROCARBURES (DGH),2826653290.0,Republic of the Congo,2017
DIRECTION GÉNÉRALE DES IMPÔTS ET DES DOMAINES (DGID),58645237024.0,Republic of the Congo,2017
DIRECTION GÉNÉRALE DES MINES (DGM),0.0,Republic of the Congo,2017
DIRECTION GÉNÉRALE DU TRÉSOR (DGT),191661456686.0,Republic of the Congo,2017
MINISTÈRE DE L'ECONOMIE FORESTIÈRE ET DU DÉVELOPPEMENT DURABLES (MEFDD),582876639.0,Republic of the Congo,2017
SOCIÉTÉ NATIONALE DES PÉTROLES DU CONGO (SNPC),225182569.0,Republic of the Congo,2017
SOCOTRAM / DIRECTION DE LA MARINE MARCHANDE / CONSEIL CONGOLAIS DES CHARGEURS,0.0,Republic of the Congo,2017
CAISSE DE SÉCURITÉ SOCIALE (CSS),696011898.0,Senegal,2018
DIRECTION DE L'ENVIRONNEMENT ET DES ETABLISSEMENTS CLASSÉS (DEEC),304264550.0,Senegal,2018
"DIRECTION DES EAUX, FORÊTS, CHASSES ET CONSERVATION DES SOLS (DEFCCS)",180397020.0,Senegal,2018
DIRECTION DES MINES ET DE LA GÉOLOGIE (DMG),19953712566.72,Senegal,2018
DIRECTION GÉNÉRALE DE LA COMPTABILITÉ PUBLIQUE ET DU TRÉSOR (DGCPT),1669441664.0,Senegal,2018
DIRECTION GÉNÉRALE DES DOUANES (DGD),14680174336.0,Senegal,2018
DIRECTION GÉNÉRALE DES IMPÔTS ET DES DOMAINES (DGID),56410376198.0,Senegal,2018
INSTITUTION DE PRÉVOYANCE RETRAITE DU SÉNÉGAL (IPRES),3987987836.0,Senegal,2018
SOCIÉTÉ DES PÉTROLES DU SÉNÉGAL (PETROSEN),2348455633.0,Senegal,2018
AUTRES,0.0,Senegal,2019
AUTRES BÉNÉFICIAIRES (PAIEMENTS ENVIRONNEMENTAUX),21422418.0,Senegal,2019
AUTRES BÉNÉFICIAIRES (PAIEMENTS SOCIAUX),3512368896.22,Senegal,2019
CAISSE DE SÉCURITÉ SOCIALE (CSS),733101792.0,Senegal,2019
DIRECTION DE L'ENVIRONNEMENT ET DES ETABLISSEMENTS CLASSÉS (DEEC),151299475.0,Senegal,2019
"DIRECTION DES EAUX, FORÊTS, CHASSES ET CONSERVATION DES SOLS (DEFCCS)",270435402.0,Senegal,2019
DIRECTION DES MINES ET DE LA GÉOLOGIE (DMG),24228233398.0,Senegal,2019
DIRECTION GÉNÉRALE DE LA COMPTABILITÉ PUBLIQUE ET DU TRÉSOR (DGCPT),8748380996.0,Senegal,2019
DIRECTION GÉNÉRALE DES DOUANES (DGD),13151573737.0,Senegal,2019
DIRECTION GÉNÉRALE DES IMPÔTS ET DES DOMAINES (DGID),75239402568.0,Senegal,2019
INSTITUTION DE PRÉVOYANCE RETRAITE DU SÉNÉGAL (IPRES),3656358597.0,Senegal,2019
SOCIÉTÉ DES PÉTROLES DU SÉNÉGAL (PETROSEN),1975924601.0,Senegal,2019
"MINISTRY OF FINANCE, TRADE AND THE BLUE ECONOMY (MFTBE)",0.0,Seychelles,2017
PETROSEYCHELLES,45346.52,Seychelles,2017
SEYCHELLES REVENUE COMMISSION (SRC),0.0,Seychelles,2017
"MINISTRY OF FINANCE, TRADE AND THE BLUE ECONOMY (MFTBE)",0.0,Seychelles,2018
PETROSEYCHELLES,32688.0,Seychelles,2018
SEYCHELLES REVENUE COMMISSION (SRC),0.0,Seychelles,2018
MINISTRY OF FINANCE,1803708000.0,Suriname,2017
GEITA TOWN COUNCIL,3716057848.01,Tanzania,2018
KAHAMA TOWN COUNCIL,1379904933.28,Tanzania,2018
KINONDONI MUNICIPAL COUNCIL,47674874.0,Tanzania,2018
KISHAPU DISTRICT COUNCIL,369685528.0,Tanzania,2018
LOCAL GOVERMENT AUTHORITIES,0.0,Tanzania,2018
MBINGA DISTRICT COUNCIL,209668121.9,Tanzania,2018
MINISTRY OF MINERALS,390714184971.94,Tanzania,2018
MSALALA DISTRICT COUNCIL,472528660.16,Tanzania,2018
MTWARA DISTRICT COUNCIL,600082869.01,Tanzania,2018
MWANZA CITY COUNCIL,33764641.0,Tanzania,2018
OTHER GOVT. AGENCY,0.0,Tanzania,2018
SONGWE DISTRICT COUNCIL,809646827.82,Tanzania,2018
TANZANIA PETROLEUM DEVELOPMENT CORPORATION (TPDC),121844967191.84,Tanzania,2018
TANZANIA REVENUE AUTHORITY,276636850522.79004,Tanzania,2018
TARIME DISTRICT COUNCIL,2730017536.34,Tanzania,2018
AGENCE NATIONALE DE GESTION DE L'ENVIRONNEMENT (ANGE),8591650.0,Togo,2017
CAISSE NATIONALE DE SECURITE SOCIALE (CNSS),1561220340.0,Togo,2017
COMMISSARIAT DES DOUANES ET DROITS INDIRECTS (CDDI),2856383159.0,Togo,2017
COMMISSARIAT DES IMPOTS (CI),7670564536.0,Togo,2017
DIRECTION GENERALE DES MINES ET DE LA GEOLOGIE (DGMG),1959455741.0,Togo,2017
DIRECTION GENERALE DU TRAVAIL ET DE LOIS SOCIALES (DGTLS),189783.0,Togo,2017
DIRECTION GENERALE DU TRESOR ET DE LA COMPTABILITE PUBLIQUE (DGTCP),332700000.0,Togo,2017
LES DELEGATIONS SPECIALES DES COMMUNES ET PREFECTURES DE 15 LOCALITES MINIERES,0.0,Togo,2017
SOCIETE TOGOLAISE DES EAUX (TDE),82600.0,Togo,2017
AGENCE NATIONALE DE GESTION DE L'ENVIRONNEMENT (ANGE),0.0,Togo,2018
CAISSE NATIONALE DE SÉCURITÉ SOCIALE (CNSS),1604662476.0,Togo,2018
COMMISSARIAT DES DOUANES ET DROITS INDIRECTS (CDDI),344587283.0,Togo,2018
COMMISSARIAT DES IMPÔTS (CI),7534406321.0,Togo,2018
COMMUNES ET PRÉFECTURES DES LOCALITÉS MINIÈRES,0.0,Togo,2018
DIRECTION GÉNÉRALE DES MINES ET DE LA GÉOLOGIE (DGMG),1775391849.0,Togo,2018
DIRECTION GÉNÉRALE DU TRAVAIL ET DE LOIS SOCIALES (DGTLS),3033774.0,Togo,2018
DIRECTION GÉNÉRALE DU TRÉSOR ET DE LA COMPTABILITÉ PUBLIQUE (DGTCP),413500000.0,Togo,2018
TOGOLAISE DES EAUX (TDE),0.0,Togo,2018
MINISTRY OF FINANCE - INLAND REVENUE DIVISION,1343692633.0,Trinidad and Tobago,2017
MINISTRY OF FINANCE INVESTMENT DECISION,1353194716.0,Trinidad and Tobago,2017
MINISTRY ON ENERGY AND ENERGY INDUSTRIES,3175044865.0,Trinidad and Tobago,2017
MINISTRY OF FINANCE - INLAND REVENUE DIVISION,2220231699.0,Trinidad and Tobago,2018
MINISTRY OF FINANCE INVESTMENT DECISION,664619327.0,Trinidad and Tobago,2018
MINISTRY ON ENERGY AND ENERGY INDUSTRIES,4492864421.0,Trinidad and Tobago,2018
"MINISTRY FOR DEVELOPMENT OF ECONOMY, TRADE AND AGRICULTURE OF UKRAINE",13586494000.0,Ukraine,2017
STATE TAX SERVICE OF UKRAINE,123926420068.58,Ukraine,2017
THE STATE SERVICE OF GEOLOGY AND SUBSOIL OF UKRAINE (DERZHGEONADRA),1694533976.61,Ukraine,2017
"MINISTRY FOR DEVELOPMENT OF ECONOMY, TRADE AND AGRICULTURE OF UKRAINE",28946371200.21,Ukraine,2018
STATE CUSTOMS SERVICE OF UKRAINE,19430513651.89,Ukraine,2018
STATE TAX SERVICE OF UKRAINE,130695811138.27,Ukraine,2018
THE STATE SERVICE OF GEOLOGY AND SUBSOIL OF UKRAINE (DERZHGEONADRA),658153085.0,Ukraine,2018
"MINISTRY FOR DEVELOPMENT OF ECONOMY, TRADE AND AGRICULTURE OF UKRAINE",8538059230.0,Ukraine,2019
STATE CUSTOMS SERVICE OF UKRAINE,15024647500.75,Ukraine,2019
STATE TAX SERVICE OF UKRAINE,131515641114.25,Ukraine,2019
THE STATE SERVICE OF GEOLOGY AND SUBSOIL OF UKRAINE (DERZHGEONADRA),629217838.52,Ukraine,2019
"MINISTRY FOR DEVELOPMENT OF ECONOMY, TRADE AND AGRICULTURE OF UKRAINE",0.0,Ukraine,2020
STATE CUSTOMS SERVICE OF UKRAINE,5505302398.54,Ukraine,2020
STATE TAX SERVICE OF UKRAINE,170189170087.08,Ukraine,2020
THE STATE SERVICE OF GEOLOGY AND SUBSOIL OF UKRAINE (DERZHGEONADRA),765538550.97,Ukraine,2020
CROWN ESTATE SCOTLAND (CES),2113153.15,United Kingdom,2018
HER MAJESTY’S REVENUE AND CUSTOMS (HMRC),1134023476.62,United Kingdom,2018
OIL & GAS AUTHORITY (OGA),88902775.62,United Kingdom,2018
THE CROWN ESTATE (TCE),25174626.77,United Kingdom,2018
CROWN ESTATE SCOTLAND (CES),1828666.0,United Kingdom,2019
HER MAJESTY’S REVENUE AND CUSTOMS (HMRC),1396295275.05,United Kingdom,2019
OIL & GAS AUTHORITY (OGA),90992842.02000001,United Kingdom,2019
THE CROWN ESTATE (TCE),24576371.590000004,United Kingdom,2019
CROWN ESTATE SCOTLAND (CES),1662345.0,United Kingdom,2020
HER MAJESTY’S REVENUE AND CUSTOMS (HMRC),154698366.84000003,United Kingdom,2020
OIL & GAS AUTHORITY (OGA),85022495.49000001,United Kingdom,2020
THE CROWN ESTATE (TCE),24929599.75,United Kingdom,2020
ENVIRONMENTAL PROTECTION FUND,2276581.33,Zambia,2017
LOCAL COUNCILS,100511364.80000001,Zambia,2017
MINISTRY OF LANDS,497380.71,Zambia,2017
MINISTRY OF MINES AND MINERALS DEVELOPMENT,6373230.58,Zambia,2017
ZAMBIA CONSOLIDATED COPPER MINES – INVESTMENT HOLDINGS PLC (ZCCM- IH),696174450.1899999,Zambia,2017
ZAMBIAN REVENUE AUTHORITY (ZRA),9832994569.369999,Zambia,2017
ENVIRONMENTAL PROTECTION FUND,23330601.78,Zambia,2018
IDC,69205641.67,Zambia,2018
LOCAL COUNCILS,225046694.88,Zambia,2018
MINISTRY OF LANDS,1756688.47,Zambia,2018
MINISTRY OF MINES AND MINERALS DEVELOPMENT,48229839.93,Zambia,2018
MOF,23178861.72,Zambia,2018
ZAMBIAN REVENUE AUTHORITY (ZRA),13273065885.75,Zambia,2018
ZCCM- IH,758327248.44,Zambia,2018
ENVIRONMENTAL PROTECTION FUND,1235122.59,Zambia,2019
INDUSTRIAL DEVELOPMENT CORPORATION (IDC),0.0,Zambia,2019
LOCAL COUNCILS,141599450.2,Zambia,2019
MINISTRY OF FINANCE (MOF),16832268.63,Zambia,2019
MINISTRY OF LANDS,982789.47,Zambia,2019
MINISTRY OF MINES AND MINERALS DEVELOPMENT,41282998.4,Zambia,2019
MINISTRY OF MINES AND MINERALS DEVELOPMENT - PETROLEUM UNIT,3051347.36,Zambia,2019
ZAMBIAN REVENUE AUTHORITY (ZRA),13862632466.66,Zambia,2019
ZCCM INVESTMENTS HOLDINGS PLC (ZCCM- IH),0.0,Zambia,2019
