Index,Company
2079_part3,UNIVERSAL ENERGY RESOURCES LIMITED (UERL)
2080_part3,VENUS MINING
2081_part3,WALTERSMITH PETROMAN OIL LIMITED
2082_part3,WASHIGNTON FARMS
2083_part3,WEST AFRICAN MINERAL TRADING
2084_part3,WODA MOUNTAIN INVESTMENT LTD
2085_part3,YITER QUARRY
2086_part3,Z&Y INVESTMENT COMPANY
2087_part3,ZEBERCED LIMITED
2088_part3,ZHONG TAI MINING (NIG.) LIMITED
2089_part3,ZHONG XING MINING INVESTMENT LTD
2090_part3,ZUMA 828 COAL LIMITED
2091_part3,A&B GLOBAL STRATEGY LIMITED
2092_part3,AKINS GEMS LTD
2093_part3,ARAB CONTRACTORS O.A.O. NIGERIA LTD.
2094_part3,ASHAKACEM LIMITED
2095_part3,ASPHALT UNITY CONSTRUCTION LIMITED
2096_part3,BUA INTERNATIONAL LIMITED
2097_part3,C.C.C. CONSTRUCTION NIGERIA LIMITED
2098_part3,C.G.C NIGERIA LIMITED
2099_part3,CCECC NIGERIA LTD.
2100_part3,CCNC NIGERIA LIMITED
2101_part3,CEMENT COMPANY OF NOTHERN NIGERIA PLC.
2102_part3,CHINA ZHONGHO (NIG.) LTD.
2103_part3,CLC TECHNICAL & ENGINEERING NIGERIA LIMITED
2104_part3,CNC ENGINEERING CO.LIMITED
2105_part3,CNC MINING COMPANY LIMITED
2106_part3,CONROK NIG. LTD
2107_part3,CRUSHED ROCK INDUSTRIES (NIGERIA) LTD
2108_part3,DANGOTE CEMENT PLC
2109_part3,DANTATA & SAWOE CONSTRUCTION COMPANY (NIGERIA) LTD
2110_part3,DATUM CONSTRUCTION (NIG) LTD.
2111_part3,DON & CHYKE NIG. LTD
2112_part3,E. B. H. GRANITE LIMITED
2113_part3,FIRST PATRIOT LIMITED
2114_part3,GANAN CONSTRUCTION COMPANY LTD
2115_part3,GEORGIO ROCKS LIMITED
2116_part3,GERAWA GLOBAL ENGINEERING LTD
2117_part3,GILMOR ENGINEERING (NIGERIA) LIMITED
2118_part3,HITECH CONSTRUCTION CO. LTDS
2119_part3,INORGANIC EARTH RESOURCES LIMITED
2120_part3,JINZIANG QUARRY CO. LTD
2121_part3,JULIUS BERGER NIGERIA PLC
2122_part3,KOPEK CONSTRUCTION LIMITED
2123_part3,LAFARGE AFRICA PLC
2124_part3,LAKE PETROLEUM LIMITED
2125_part3,LEVANT CONSTRUCTION LIMITED.
2126_part3,MALCOMINES LTD
2127_part3,MARK-SINO STONE NIGERIA LIMITED
2128_part3,MERCURY MINING INVESTMENT LTD
2129_part3,MOTHERCAT LIMITED
2130_part3,MUHAMMED IDRIS DANKABO
2131_part3,MULTIVERSE MINING & EXPLORATION PLC
2132_part3,NBHH NIGERIA LIMITED
2133_part3,OFL MARBLE & GRANITE LIMITED
2134_part3,P .W. NIGERIA LIMITED
2135_part3,PETRA QUARRIES LTD
2136_part3,PIONEER SINOCHINO INVESTMENT VENTURES LIMITED
2137_part3,PLATINUM ASPHALT AND CRUSHING COMPANY LIMITED
2138_part3,PROSSY INVESTMENT LIMITED
2139_part3,PURECHEM INDUSTRIES LIMITED
2140_part3,RATCON CONSTRUCTION COMPANY LTD
2141_part3,REYNOLDS CONSTRUCTION COMPANY (NIG.) LTD.
2142_part3,ROCK WATERS INTEGRATED SERVICES LIMITED
2143_part3,S.C.C. (NIGERIA) LIMITED
2144_part3,SATURN MINING COMPANY LTD
2145_part3,SEAMAN MINING CONSTRUCTION
2146_part3,SETRACO NIGERIA LIMITED
2147_part3,SINO MINMETALS COMPANY LTD
2148_part3,SODEXMINES NIGERIA LTD
2149_part3,TONGYI ALLIED MINING LTD
2150_part3,TRIACTA NIGERIA LTD
2151_part3,VENUS MINING COMPANY LIMITED
2152_part3,WEST AFIRCAN MINING CO LTD
2153_part3,WODA MOUNTAIN INVESTMENT LTD
2154_part3,XVE GAO NIG. LTD
2155_part3,Z & Y INVESTMENT COMPANY LIMITED
2156_part3,ZEBERCED LIMITED
2157_part3,ZHONG TAI MINING (NIG.) LTD
2158_part3,ZHONG XING MINING INVESTMENT LIMITED
2159_part3,ZUMA 828 COAL LIMITED
2160_part3,ADDAX PETROLEUM DEVELOPMENT NIGERIA LIMITED
2161_part3,ADDAX PETROLEUM EXPLORATION NIGERIA LIMITED
2162_part3,AGIP ENERGY AND NATURAL RESOURCES (AENR)
2163_part3,AITEO EASTERN E&P CO. LIMITED
2164_part3,AMNI INTERNATIONAL PETROLEUM LIMITED
2165_part3,ATLAS PETROLEUM NIGERIA LIMITED
2166_part3,BAYELSA OIL COMPANY LIMITED
2167_part3,BELEMA OIL PRODUCING LIMITED
2168_part3,BRASOIL OIL SERVICES COMPANY NIGERIA LIMITED
2169_part3,BRITTANIA U-NIGERIA
2170_part3,CHEVRON NIGERIA LIMITED
2171_part3,CHEVRON PETROLEUM NIGERIA LIMITED
2172_part3,CHINA NATIONAL OIL DEVELOPMENT CO.
2173_part3,CHORUS ENERGY LIMITED
2174_part3,CONOIL PRODUCING LTD
2175_part3,CONTINENTAL OIL AND GAS COMPANY (CONOG)
2176_part3,DUBRI OIL COMPANY LIMITED
2177_part3,ELCREST EXPLORATION AND PRODUCTION NIGERIA LIMITED (ELCREST)
2178_part3,ENAGEED RESOURCES LIMITED
2179_part3,ENERGIA LIMITED
2180_part3,EQUINOR NIGERIA ENERGY COMPANY LIMITED
2181_part3,EROTON E&P COMPANY LIMITED
2182_part3,ESSO E&P (OFFSHORE EAST) NIGERIA LIMITED
2183_part3,ESSO E&P NIGERIA LIMITED
2184_part3,EXCEL EXPLORATION & PRODUCTION LIMITED
2185_part3,EXPRESS PETROLEUM & GAS CO. LIMITED
2186_part3,FAMFA OIL LIMITED
2187_part3,FIRST HYDROCARBON NIGERIA
2188_part3,FRONTIER OIL LIMITED
2189_part3,GREEN ENERGY INTERNATIONAL LIMITED
2190_part3,LEKOIL LIMITED
2191_part3,MIDWESTERN OIL & GAS
2192_part3,MILLENNIUM OIL & GAS LIMITED
2193_part3,MOBIL PRODUCING NIGERIA UNLIMITED
2194_part3,MONI PULO LIMITED
2195_part3,ND WESTERN LIMITED
2196_part3,NECONDE ENERGY LIMITED
2197_part3,NETWORK EXPLORATION & PRODUCTION LIMITED
2198_part3,NEWCROSS E&P LIMITED
2199_part3,NEWCROSS LIMITED
2200_part3,NEXEN PETROLEUM NIGERIA LIMITED (SUBSIDIARY OF CNOOC)
2201_part3,NIGER DELTA PETROLEUM RESOURCES LIMITED
2202_part3,NIGERIA AGIP EXPLORATION (NAE)
2203_part3,NIGERIA AGIP OIL CO LIMITED (NAOC)
2204_part3,NIGERIA PETROLEUM DEVELOPMENT COMPANY LIMITED
2205_part3,OANDO HYDROCARBON LIMITED (NOW OANDO OIL LIMITED)
2206_part3,OANDO OML 125 & 134 LIMITED
2207_part3,OANDO PETROLEUM DEVELOPMENT CO. LIMITED
2208_part3,OANDO QUA-IBO LIMITED
2209_part3,ORIENTAL ENERGY RESOURCES LIMITED
2210_part3,PAN OCEAN OIL CORPORATION
2211_part3,PETROBRAS OIL & GAS (PETROLEO BRASTILEIRO NIGERIA LIMITED)
2212_part3,PILLAR OIL LIMITED
2213_part3,PLATFORM PETROLEUM LIMITED
2214_part3,SEPLAT PETROLEUM DEVELOPMENT COMPANY
2215_part3,SHEBA EXPLORATION & PRODUCTION COMPANY LIMITED
2216_part3,SHELL NIG. EXP. & PRODUCTION CO LIMITED (SNEPCO)
2217_part3,SHELL PETROLEUM DEVELOPMENT COMPANY
2218_part3,SHORELINE NATURAL RESOURCES LIMITED
2219_part3,SOUTH ATLANTIC PETROLEUM LIMITED
2220_part3,STAR DEEP WATER PETROLEUM LIMITED
2221_part3,STERLING GLOBAL OIL RESOURCES LIMITED
2222_part3,STERLING OIL E&P PRODUCTION CO LIMITED
2223_part3,SUMMIT OIL INTERNATIONAL LIMITED
2224_part3,SUNTRUST OIL COMPANY NIGERIA LIMITED
2225_part3,TEXACO NIGERIA OUTER SHELF LIMITED
2226_part3,TOTAL EXPLORATION & PRODUCTION NIGERIA LIMITED
2227_part3,TOTAL UPSTREAM NIG LIMITED
2228_part3,UNIVERSAL ENERGY LIMITED
2229_part3,WALTERSMITH PETROMAN
2230_part3,YINKA FOLAWIYO PETROLEUM
2231_part3,NIGERIA LNG LIMITED
2232_part3,CAMAC NIGERIA LIMITED
2233_part3,DELL SIGMA PETROLEUM LTD
2234_part3,STERLING RESOURCES LIMITED
2235_part3,FIRST E & P DEVELOPMENT COMPANY
2236_part3,AMALGAMATED OIL COMPANY NIGERIA LIMITED
2237_part3,CENTURY ENERGY RESOURCES LIMITED
2238_part3,EMERALD ENERGY RESOURCES LIMITED
2239_part3,FOLAWIYO AJE SERVICES LIMITED
2240_part3,MX OIL PLC
2241_part3,NIGER DELTA EXPLORATION AND PRODUCTION PLC
2242_part3,POLARCUS NIGERIA LIMITED
2243_part3,SEVEN ENERGY INTERNATIONAL LIMITED
2244_part3,NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC)
2245_part3,SCANTOGO MINES
2246_part3,WEST AFRICAN CEMENT (WACEM)
2247_part3,SNPT
2248_part3,POMAR TOGO SA
2249_part3,GRANUTOGO SA
2250_part3,SAD
2251_part3,MIDNIGHT SUN SA
2252_part3,TOGO RAIL
2253_part3,TOGO MATERIAUX
2254_part3,TOGO CARRIÈRE
2255_part3,XING FA SARL U
2256_part3,NATIVITE INVESTE
2257_part3,OPTION TRANSIT
2258_part3,LES AIGLES
2259_part3,TOGOLAISE DES GRANDS CAOUS (TGC) SA
2260_part3,EBOMAF SA
2261_part3,COLAS AFRIQUE (SUCCURSALE DU TOGO)
2262_part3,SOCIETE GENERALE DES MINES (SGM) SARL
2263_part3,SOCIETE TOGOLAISE DES EAUX (TDE)
2264_part3,VOLTIC TOGO SARL
2265_part3,SAMARIA
2266_part3,CRYSTAL SARL
2267_part3,MASTER EQUIPEMENTS SARL
2268_part3,A/S NORSKE SHELL
2269_part3,AKER BP AS
2270_part3,AKER BP ASA
2271_part3,ATLANTIC PETROLEUM NORGE AS
2272_part3,BAYERNGAS NORGE AS
2273_part3,BP NORGE AS
2274_part3,CAPEOMEGA AS
2275_part3,CAPRICORN NORGE AS
2276_part3,CENTRICA RESOURCES NORGE AS
2277_part3,CHEVRON NORGE AS
2278_part3,CONCEDO ASA
2279_part3,CONOCOPHILLIPS SKANDINAVIA AS
2280_part3,DANA PETROLEUM NORWAY AS
2281_part3,DEA NORGE AS
2282_part3,DNO NORGE AS
2283_part3,DONG E&P AS
2284_part3,EDISON NORGE AS
2285_part3,ENGIE E&P NORGE AS
2286_part3,ENI NORGE AS
2287_part3,EQUINOR ENERGY AS
2288_part3,EXXONMOBIL EXPL. AND PROD. NORWAY AS
2289_part3,EXXONMOBIL PRODUCTION NORWAY INC.
2290_part3,FAROE PETROLEUM NORGE AS
2291_part3,FORTIS PETROLEUM NORWAY AS
2292_part3,IDEMITSU PETROLEUM NORGE AS
2293_part3,INEOS E&P NORGE AS
2294_part3,INFRAGAS NORGE AS
2295_part3,INPEX NORGE AS
2296_part3,KUFPEC NORWAY AS
2297_part3,LIME PETROLEUM AS
2298_part3,LOTOS EXPL. AND PROD. NORGE AS
2299_part3,LUKOIL OVERSEAS NORTH SHELF AS
2300_part3,LUNDIN NORWAY AS
2301_part3,M VEST ENERGY AS
2302_part3,MAERSK OIL NORWAY AS
2303_part3,MOECO OIL & GAS NORGE AS
2304_part3,MOL NORGE AS
2305_part3,NEPTUNE ENERGY NORGE AS
2306_part3,NORECO NORWAY AS
2307_part3,NORPIPE OIL AS
2308_part3,NORSEA GAS AS
2309_part3,NORTH E&P AS
2310_part3,OKEA AS
2311_part3,OMV (NORGE) AS
2312_part3,PETROLIA NOCO AS
2313_part3,PETROSEE AS
2314_part3,POINT RESOURCES AS
2315_part3,PRODUCTION ENERGY COMPANY AS
2316_part3,REPSOL NORGE AS
2317_part3,RN NORDIC OIL AS
2318_part3,SILEX GAS NORWAY AS
2319_part3,SKAGEN44 AS
2320_part3,SOLVEIG GAS NORWAY AS
2321_part3,SPIRIT ENERGY
2322_part3,SUNCOR ENERGY NORGE AS
2323_part3,TELLUS PETROLEUM AS
2324_part3,TOTAL E&P NORGE AS
2325_part3,TULLOW OIL (BREAM) NORGE AS
2326_part3,TULLOW OIL NORGE AS
2327_part3,VNG NORGE AS
2328_part3,WELLESLEY PETROLEUM AS
2329_part3,WINTERSHALL NORGE AS
2330_part3,STATENS DIREKTE ØKONOMISKE ENGASJEMENT (STATE DIRECT FINANCIAL INVESTMENT)/PETORO
2331_part3,OTHER COMPANIES - NON-RIGHTS HOLDERS
2332_part3,A/S NORSKE SHELL
2333_part3,AKER BP AS
2334_part3,AKER BP ASA
2335_part3,CAPEOMEGA AS
2336_part3,CAPRICORN NORGE AS
2337_part3,CENTRICA RESOURCES NORGE AS
2338_part3,CHEVRON NORGE AS
2339_part3,CONCEDO ASA
2340_part3,CONOCOPHILLIPS SKANDINAVIA AS
2341_part3,DEA NORGE AS
2342_part3,DNO NORGE AS
2343_part3,DNO NORTH SEA (NORGE) AS
2344_part3,DNOILCO AS
2345_part3,EDISON NORGE AS
2346_part3,ENGIE E&P NORGE AS
2347_part3,ENI NORGE AS
2348_part3,EQUINOR ENERGY AS
2349_part3,EXXONMOBIL EXPL. AND PROD. NORWAY AS
2350_part3,EXXONMOBIL PRODUCTION NORWAY INC.
2351_part3,FAROE PETROLEUM NORGE AS
2352_part3,FORTIS PETROLEUM NORWAY AS
2353_part3,IDEMITSU PETROLEUM NORGE AS
2354_part3,INEOS E&P NORGE AS
2355_part3,INFRAGAS NORGE AS
2356_part3,INPEX NORGE AS
2357_part3,KUFPEC NORWAY AS
2358_part3,LIME PETROLEUM AS
2359_part3,LOTOS EXPL. AND PROD. NORGE AS
2360_part3,LUKOIL OVERSEAS NORTH SHELF AS
2361_part3,LUNDIN NORWAY AS
2362_part3,M VEST ENERGY AS
2363_part3,MAERSK OIL NORWAY AS
2364_part3,MOECO OIL & GAS NORGE AS
2365_part3,MOL NORGE AS
2366_part3,NEPTUNE E&P NORGE AS
2367_part3,NEPTUNE ENERGY NORGE AS
2368_part3,NORPIPE OIL AS
2369_part3,NORSEA GAS AS
2370_part3,NORTH E&P AS
2371_part3,OKEA AS
2372_part3,OMV (NORGE) AS
2373_part3,PANDION ENERGY AS
2374_part3,PETROLIA NOCO AS
2375_part3,PETROSEE AS
2376_part3,PGNIG UPSTREAM NORWAY AS
2377_part3,POINT RESOURCES AS
2378_part3,PRORES AS
2379_part3,REPSOL NORGE AS
2380_part3,RN NORDIC OIL AS
2381_part3,SILEX GAS NORWAY AS
2382_part3,SKAGEN44 AS
2383_part3,SOLVEIG GAS NORWAY AS
2384_part3,SPIRIT ENERGY
2385_part3,SUNCOR ENERGY NORGE AS
2386_part3,TOTAL E&P NORGE AS
2387_part3,TULLOW OIL NORGE AS
2388_part3,TYR EXPLORATION AS
2389_part3,VNG NORGE AS
2390_part3,VÅR ENERGI AS
2391_part3,WELLESLEY PETROLEUM AS
2392_part3,WINTERSHALL NORGE AS
2393_part3,ANDRE SELSKAP - IKKE RETTIGHETSHAVER
2394_part3,SDFI/PETORO
2395_part3,OTHER COMPANIES - NON-RIGHTS HOLDERS
2396_part3,A/S NORSKE SHELL
2397_part3,ACUMEN ENERGY AS
2398_part3,AKER BP ASA
2399_part3,ATLANTIC PETROLEUM NORGE AS
2400_part3,BG NORGE LTD
2401_part3,CAPEOMEGA AS
2402_part3,CAPRICORN NORGE AS
2403_part3,CHRYSAOR NORGE AS
2404_part3,CONCEDO ASA
2405_part3,CONOCOPHILLIPS SKANDINAVIA AS
2406_part3,DEA NORGE AS
2407_part3,DNO NORGE AS
2408_part3,DNO NORTH SEA (NORGE) AS
2409_part3,EDISON NORGE AS
2410_part3,ENQUEST NORGE AS
2411_part3,EQUINOR ENERGY AS
2412_part3,EXXONMOBIL EXPL. AND PROD. NORWAY AS
2413_part3,FORTIS PETROLEUM NORWAY AS
2414_part3,IDEMITSU PETROLEUM NORGE AS
2415_part3,INEOS E&P NORGE AS
2416_part3,INPEX NORGE AS
2417_part3,LIME PETROLEUM AS
2418_part3,LOTOS EXPL. AND PROD. NORGE AS
2419_part3,LUKOIL OVERSEAS NORTH SHELF AS
2420_part3,LUNDIN ENERGY NORWAY AS
2421_part3,M VEST ENERGY AS
2422_part3,MOECO OIL & GAS NORGE AS
2423_part3,MOL NORGE AS
2424_part3,NEPTUNE ENERGY NORGE AS
2425_part3,NORPIPE OIL AS
2426_part3,NORTH SEA INFRASTRUCTURE AS
2427_part3,OKEA ASA
2428_part3,OMV (NORGE) AS
2429_part3,ONE-DYAS NORGE AS
2430_part3,PANDION ENERGY AS
2431_part3,PETROLIA NOCO AS
2432_part3,PGNIG UPSTREAM NORWAY AS
2433_part3,REPSOL NORGE AS
2434_part3,RN NORDIC OIL AS
2435_part3,SILEX GAS NORWAY AS
2436_part3,SKAGEN44 AS
2437_part3,SOURCE ENERGY AS
2438_part3,SPIRIT ENERGY
2439_part3,SPIRIT ENERGY NORWAY AS
2440_part3,SUNCOR ENERGY NORGE AS
2441_part3,SVAL ENERGI AS
2442_part3,TOTAL E&P NORGE AS
2443_part3,TULLOW OIL NORGE AS
2444_part3,TYR EXPLORATION AS
2445_part3,VÅR ENERGI AS
2446_part3,WELLESLEY PETROLEUM AS
2447_part3,WINTERSHALL DEA NORGE AS
2448_part3,OTHER COMPANIER - NON-RIGHT HOLDERS
2449_part3,PETORO/SDFI
2450_part3,SOCIÉTÉ MAURITANIENNE DES HYDROCARBURES ET DU PATRIMOINE MINIER (SMHPM)
2451_part3,PETRONAS
2452_part3,SONATRACH (SIPEX)
2453_part3,TOTAL E&P
90300067
492751
455386
30300059",Oil & Gas
2454_part3,TULLOW OIL
2455_part3,KOSMOS ENERGY
2456_part3,BP
2457_part3,EXOON MOBIL
510669
510677",Oil & Gas
2458_part3,SOCIÉTÉ NATIONALE INDUSTRIELLE ET MINIÈRE (SNIM)
2459_part3,MCM
2460_part3,TASIAST MAURITANIE LTD SA
2461_part3,MAURITANIE RESSOURCES LIMITED SARL
2462_part3,SPHERE MAURITANIA SA
2463_part3,TAFOLI MINERALS
2464_part3,AURA ENERGY LIMITED
2465_part3,SOCIÉTÉ D’EXTRACTION DU NORD D’INCHIRI SA (SENI SA)
2466_part3,FERROQUARTZ MAURITANIA
2467_part3,TIREX SA
2468_part3,EL AOUJ MINING COMPANY SA
2469_part3,AGRINEQ SA
2470_part3,WAFA MINING & PETROLEUM SA
2471_part3,CURVE CAPITAL VENTURE
2472_part3,MAURITANO-SAOUDEINNE POUR LE PHOSPHATE
2473_part3,GOUNKOTO
2474_part3,MORILA
2475_part3,NAMPALA
2476_part3,SEMICO
2477_part3,SEMOS
2478_part3,SMK
2479_part3,SOMIKA
2480_part3,SOMILO
2481_part3,SOMISY
2482_part3,WASSOULOU
2483_part3,YATELA
2484_part3,FEKOLA
2485_part3,RAZEL MALI
2486_part3,SOCARCO
2487_part3,CMM
2488_part3,DIAMOND CEMENT
2489_part3,EMM
2490_part3,RANDGOLD
2491_part3,IAMGOLD
2492_part3,NEVSUN
2493_part3,MMR
2494_part3,KOFI.SA
2495_part3,SOMIFI.SA
2496_part3,PETROMA
2497_part3,GOUNKOTO
2498_part3,MORILA
2499_part3,NAMPALA
2500_part3,SEMICO
2501_part3,SEMOS
2502_part3,SMK
2503_part3,SOMIKA
2504_part3,SOMILO
2505_part3,SOMISY
2506_part3,WASSOULOU
2507_part3,YATELA
2508_part3,FEKOLA
2509_part3,RAZEL MALI
2510_part3,SOCARCO
2511_part3,CMM
2512_part3,DIAMOND CEMENT
2513_part3,EMM
2514_part3,RANDGOLD
2515_part3,IAMGOLD
2516_part3,NEVSUN
2517_part3,MMR
2518_part3,KOFI.SA
2519_part3,SOMIFI.SA
2520_part3,PETROMA
2521_part3,GLENCAR MALI
2522_part3,DYNATEC MADAGASCAR S.A
2523_part3,HOLCIM MADAGASCAR SA
2524_part3,AMBATOVY MINERALS SA
2525_part3,QIT MADAGASCAR MINERALS SA
2526_part3,ETABLISSEMENT GALLOIS
2527_part3,KRAOMITA MALAGASY SA
2528_part3,MAINLAND MINING SARLU
2529_part3,MADAGASCAR OIL SA
2530_part3,NOVA RESSOURCES SARLU
2531_part3,OYSTER MADAGASCAR LIMITED
2532_part3,GRAPH MADA SARL
https://www.bassmetals.com.au/operations/",
2533_part3,OMV OFFSHORE MORONDAVA
2534_part3,RED GRANITI MADAGASCAR SARL
2535_part3,CLASSIC REAL STONES SARL
2536_part3,MADAGASCAR INTERNATIONAL TAK MINING SARL
2537_part3,SOCIÉTÉ LABRADOR MADAGASCAR SARL
2538_part3,PURA VIDA ENERGY SUCCURSALE MADAGASCAR
2539_part3,MASINA INDUSTRY GROUP MADAGASCAR SARL
2540_part3,MADAGASCAR CONSOLIDATED MINING SA
2541_part3,DYNATEC MADAGASCAR S.A
2542_part3,HOLCIM MADAGASCAR SA
2543_part3,QIT MADAGASCAR MINERALS SA
2544_part3,AMBATOVY MINERALS SA
2545_part3,ETABLISSEMENT GALLOIS
2546_part3,BP EXPLORATION (MADAGASCAR) LIMITED
2547_part3,KRAOMITA MALAGASY SA
2548_part3,GRAPH MADA SARL
https://www.bassmetals.com.au/operations/",
2549_part3,MADAGASCAR OIL SA
2550_part3,SOCIÉTÉ LABRADOR MADAGASCAR SARL
2551_part3,MAINLAND MINING SARLU
2552_part3,TANTALUM RARE EARTH (MALAGASY) SARL
2553_part3,TOLIARA SANDS / BASE TOLIARA SARL
http://www.baseresources.com.au/
http://www.baseresources.com.au/investor-centre/asx-releases/",
2554_part3,RED GRANITI MADAGASCAR SARL
2555_part3,MASINA INDUSTRY GROUP MADAGASCAR SARL
2556_part3,MADAGASCAR CONSOLIDATED MINING SA
2557_part3,MADAGASCAR MINERAL FIELDS SA
2558_part3,ARCELOR MITTAL LIBERIA LTD
2559_part3,FIRESTONE LIBERIA INCORPORATED
2560_part3,INTERNATIONAL CONSULTANT CAPITAL (ICC)
2561_part3,BEA MOUNTAIN MINING CORPORATION
2562_part3,LIBERIAN AGRICULTURAL COMPANY (LAC)
2563_part3,MARYLAND OIL PALM PLANTATION (MOPP)
2564_part3,ALPHA LOGGING & WOOD PROCESSING INC
2565_part3,CAVALLA RUBBER CORPORATION
2566_part3,ATLANTIC RESOURCES LTD.
2567_part3,GOLDEN VEROLEUM LIBERIA
2568_part3,SIME DARBY PLANTATION
2569_part3,FOREST VENTURE INC. (FVI)
2570_part3,LIBINC OIL PALM INC
2571_part3,MANDRA - FORESTRY LIB
2572_part3,SING AFRICA PLANTATIONS LIBERIA INC
2573_part3,EJ & J INVESTMENT CORPORATION
2574_part3,MNG GOLD LIBERIA INC
2575_part3,CHEVRON LIBERIA C LIMITED
2576_part3,SIMBA ENERGY
2577_part3,EXXON MOBIL EXPLORATION & PRODUCTION LIBERIA LTD.
2578_part3,CHEVRON LIBERIA C LIMITED
2579_part3,FIRESTONE LIBERIA INCORPORATED
2580_part3,GOLDEN VEROLEUM LIBERIA
2581_part3,LIBERIAN AGRICULTURAL COMPANY (LAC)
2582_part3,SIME DARBY PLANTATION LIB
2583_part3,LIBINC OIL PALM INC
2584_part3,CAVALLA RUBBER CORPORATION
2585_part3,MARYLAND OIL PALM PLANTATION (MOPP)
2586_part3,ARCELORMITTAL
2587_part3,BEA MOUNTAIN MINING CORPORATION
2588_part3,CHINA UNION LIB. INVESTMENT COMP. LTD
2589_part3,MNG GOLD LIBERIA INC
2590_part3,ZWEDRU MINING INC.
2591_part3,INTERNATIONAL CONSULTANT CAPITAL (ICC)
2592_part3,MANDRA FORESTRY
2593_part3,ALPHA LOGGING & WOOD PROCESSING INC
2594_part3,SING AFRICA PLANTATIONS LIBERIA INC
2595_part3,BOOMING GREEN LIBERIA INC.
2596_part3,FOREST VENTURE.
2597_part3,NATIONAL OIL COMPANY OF LIBERIA (NOCAL)
2598_part3,AL WAHA PETROLEUM CO. LTD.
2599_part3,APIOIL LIMITED
2600_part3,BHARAT OMAN REFINERIES LIMITED
2601_part3,BHARAT PETROLEUM CORPORATION LTD.
2602_part3,BP & PETROCHINA INTERNATIONAL
2603_part3,BP OIL
2604_part3,CANAL COMPANIES
2605_part3,CEPSA TRADING SAU
2606_part3,CHENNAI PETROLEUM CORPORATION LTD
2607_part3,CHEVRON PRODUCTS CO. A DIVISION OF CHEVRON U.SA INC.
2608_part3,CHINA INTERNATIONAL (UNIPEC ASIA CO. LTD)
2609_part3,CHINA NATIONL UNITED OIL CORPORATION (CHINA OIL)
2610_part3,CHINA OFFSHORE OIL (SINGAPORE) INTERNATIONAL PTE LTD
2611_part3,CHINA NATIONAL OFFSHORE CORPORATION (CNOOC) IRAQ LIMITED
2612_part3,DRAGON OIL LIMITED (BLOCK 9)
2613_part3,ENI IRAQ B.V.
2614_part3,BASRA OIL COMPANY (BOC) IRAQ B.V.
2615_part3,ENI TRADING
2616_part3,ENOC SUPPLY AND TRADING
2617_part3,ESSAR OIL
2618_part3,EXXONMOBIL IRAQ LTD
2619_part3,EXXONMOBIL SALES AND SUPPLY LLC. U.S.A
2620_part3,GASPROM NEFT BADRA B.V.
2621_part3,GS CALTEX (PROJECT OF KARBALA REFINERY)
2622_part3,GS CALTEX SINGAPORE PTE. LTD.
2623_part3,GUNVOR SA
2624_part3,HELLENIC PETROLEUM SA
2625_part3,HINDUSTAN PETROLEUM CORPORATION LTD. – INDIA
2626_part3,HPCL - MITTAL ENERGY LIMITED
2627_part3,INDIAN OIL CORPORATION
2628_part3,IPLOM INTERNATIONAL SA
2629_part3,LIMA (IRAQ PETROLEUM TRADING DMCC)
2630_part3,JAPEX
2631_part3,JX NIPPON OIL & ENERGY CORPORATION
2632_part3,KAZMUNAYGAS TRADING AG (KMGT)
2633_part3,KOCH SUPPLY
2634_part3,KOGAS BADRA B.V.
2635_part3,KOGAS ZUBAIR
2636_part3,KUWAIT ENERGY CO
2637_part3,LITASCO (LUKOIL INTERNATIONAL TRADING AND SUPPLY COMPANY)
2638_part3,LUKOIL
2639_part3,MOL HUNGARIAN OIL AND GAS PUBLIC LIMITED COMPANY
2640_part3,MOTOR OIL (HELLAS) CORINTH REFINERIES SA
2641_part3,NORTH PETROLEUM
2642_part3,OCCIDENTAL
2643_part3,OMAN TRADING
2644_part3,PBF HOLDING COMPANY LLC
2645_part3,PETRO DIAMOND COMPANY LIMITED
2646_part3,PETROBRAS
2647_part3,PETROCHINA HALFAYA
2648_part3,PETROCHINA WEST QURNA
2649_part3,PETROGAL SA
2650_part3,PETRONAS
2651_part3,PETRONAS BADRA
2652_part3,PETRONAS GARRAF
2653_part3,PETRONAS HALFAYA
2654_part3,PETRONAS MAJNOON
2655_part3,PHILLIPS
2656_part3,PERTAMINA
2657_part3,PERTAMINA IRAQ
2658_part3,PV OIL
2659_part3,RELIANCE INDUSTRIES LIMITED
2660_part3,REPSOL SA
2661_part3,SARAS S.P.A
2662_part3,SHELL
2663_part3,SHELL MAJNOON
2664_part3,SHELL WEST QURNA
2665_part3,SINOCHEM
2666_part3,SK ENERGY
2667_part3,SOCAR
2668_part3,STATOIL ASA
2669_part3,EGYPTIAN GENERAL PETROLEUM COMPANY
2670_part3,THE EGYPTIAN GENERAL PETROLEUM CORPORATION (EGPC) & TSC
2671_part3,TOTSA TOTAL
2672_part3,TOTSA TOTAL HALFAYA CONTRACT
2673_part3,TOYOTA TSUSHO CORPORATION
2674_part3,TP BADRA LTD.
2675_part3,TP MISSAN LIMITED
2676_part3,TURKISH PETROLEUM REFINERIES CORP. (TUPRAS)
2677_part3,VALERO MARKETING & SUPPLY CO.
2678_part3,VITOL
2679_part3,APIOIL UK LIMITED
