Index,Company
118_part3,"دوست محمد فرزند محمد شاه
119_part3,SADAT GHAWS MINING CO
120_part3,STANDARD TALC PRO.CO
121_part3,SILK ROAD MINING CO
122_part3,CENTRAL AZEEN MINING PRO.CO
123_part3,SEAN JEYANG JENG TONG TECHNOLOGY SERVICE CO LTD
124_part3,SHAH FAISAL SHERZAD TALC MINING CO
125_part3,EAST KABUL TALK PRO.CO
126_part3,شرکت استانه بابا
127_part3,AFGHAN MORWARID STONE MINING LTD
128_part3,KHWAJA MOLA KOHI STONE LTD
129_part3,AFGHAN CHESHT STONE MINING LTD
130_part3,KABUL MINING CO
131_part3,ATRO KABUL MINING CO
132_part3,AFGHAN ACTIVE MINING LTD
133_part3,AFGHAN ECHO MINING CO
134_part3,AL-NOOR MINING CO
135_part3,BAHAR KOHSARAN MINING CO
136_part3,TURKISH AFGHAN MINING CO
137_part3,TAWAN AFGHAN MINING CO
138_part3,HABIBULLAH MINING LTD
139_part3,AFRASYAB COAL MINING CO
140_part3,ROYAL MINING CO
141_part3,STANA BABA MINING CO
142_part3,SULTAN REZA MINING CO
143_part3,SANG-E-SAFID MINING CO
144_part3,SHAMSHAD MINING CO
145_part3,AKS MINING CO
146_part3,KOHSARAN MINING LTD
147_part3,KOLT NEMROZ AFGHANISTAN MINING CO
148_part3,GOLDEN GATE MINING CO
149_part3,LEGAAN MINING CO
150_part3,MAQSOOD BROTHERS MINING CO
151_part3,MUMTAZ KAWSAR MINING LTD
152_part3,MIRZADA MINING CO
153_part3,HEWAD BROTHERS MINING CO
154_part3,AFGHAN TRAWARTIN MINING CO
155_part3,AFGHAN COPPER MINING CO
156_part3,EAGAL ROCK MINING CO
157_part3,AMO HOLDING GROUP MINING CO
158_part3,HEERAT WEST MINING LTD
159_part3,BAHA JALILI MINING CO
160_part3,PARMIS GLOGAL MINING CO
161_part3,SERVICE CENTER ALLC
162_part3,GURBAT VILLIGE MINING CO
163_part3,LAL KHORASAN MINING CO
164_part3,HEERAT ANSAR MINING CO
165_part3,MURWARID STONE PRO.LTD
166_part3,BAHAR HEERAT TALK PRO. LTD
167_part3,PEROZ MAHDI STONE PRO.LTD
168_part3,BITA UNITED MINING CO
169_part3,URFAN GHAZNAWI STONE PRO.LTD
170_part3,شرکت اعتماد قره باغ
171_part3,AFGHAN CAOL LLC
172_part3,AMANYA MINING CO
173_part3,شرکت امید سباون
174_part3,شرکت برادران خالد عزیز
175_part3,شرکت برادران خالد عزیز
176_part3,شرکت برادران عادل
177_part3,شرکت برادران مهمند شمال
178_part3,PAMIR KHORASAN MINING CO
179_part3,LOGARWAL STONE PRO.CO
180_part3,شرکت تجارتی آریا پوپل لمتید
181_part3,ITEMAD NAFT LTD
182_part3,SALEEM KARWAN MINING CO
183_part3,MAIWAND SARWARI MINING CO
184_part3,شرکت تکنالوجست
185_part3,شرکت تولید سنگ تزیناتی وتعمیراتی هلال
186_part3,CENTER AMERICAN LLC
187_part3,AFGHAN KNIGHT GEO & MINING CO
188_part3,IBRAHIM MATONWAL LOGISTIC CO
189_part3,ARYA FAIZI MINING LTD
190_part3,KATALEST IRON MINING CO
191_part3,شرکت ریگریشن کابل گلدره
192_part3,شرکت ساختمانی حاجی ملا شاه میرزی
193_part3,شرکت ساختمانی غلام حضرت ارغندیوال
194_part3,شرکت ساختمانی فاروق استانکزی
195_part3,شرکت سپتی اوغلوایس مات دستی
196_part3,MINING INVESTMENT CO
197_part3,PESARAN DAQIQ STONE PRO.LTD
198_part3,HADETH STONE LTD
199_part3,BLAWREEN STONE PRO.LTD
200_part3,KOH-E-NOOR HEERAT STONE MINING LTD
201_part3,MAGMA MINING LTD
202_part3,JAHAN SANG SAHEL LTD
203_part3,BROTHERS CROMITE MINING CO
204_part3,BAHAR MARMAR LTD
205_part3,PAMIR RASOOL MINING CO
206_part3,KOLAK MINING CO
207_part3,FAQIRI BROTHERS MINNIG PRO.CO
208_part3,URFAN SUBHAN TALK PRO.CO
209_part3,"عمرگل فرزند جمعه خان
210_part3,"فقیر حسین
211_part3,ARYANA AFGHAN LIQUID GAS LTD
212_part3,SHOKRAN AFGHAN MINING LTD
213_part3,"محمد هاشم فرزند عبدالله
214_part3,"محمدی فرزند مسجدی
215_part3,MAHMOOD GHALEB SHERZAD TALC PRO.CO
216_part3,NORTH WEST MINERALS
217_part3,NABI AFGHAN MINING CO
218_part3,"نجیب الله فرزند عین الله
219_part3,"نصرالله فرزند اول الدین
220_part3,"نقیب الله فرزند محمد نبی
221_part3,AAZAM KHAN WAFA SHERZAD LIMITED
222_part3,ABBAS GHAZNAVI LIMITED
223_part3,ABDUL FATAH
224_part3,ABDUL RAHMAN BABA STEEL & IRON COMPANY
225_part3,ABUBAKAR BURHAN LIMITED
226_part3,AFGHAN GAS ENTERPRISE
