GFS Classification,Sector,Revenue stream name,Government entity,Revenue value,Currency,Country,ISO Code,Year,Start Date,End Date
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur le Revenu des Valeurs Mobilières (IRVM),Direction Générale des Impôts (DGI),1517196020.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur le revenu du secteur informel - AIRSI,Direction Générale des Impôts (DGI),609596.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
"Ordinary taxes on income, profits and capital gains (1112E1)",Oil & Gas,Impôt sur les bénéfices Industriels et commerciaux (BIC),Direction Générale des Impôts (DGI),35000000.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Mining,Autres impôts,Direction Générale des Impôts (DGI),5575939.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Mining,Forfait de contrôle,Direction Générale des Mines et de la Géologie (DGMG),178547500.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Mining,Frais delivrances carte,Direction Générale des Mines et de la Géologie (DGMG),2410000.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Mining,Taxes forfaitaires,Direction Générale des Mines et de la Géologie (DGMG),2480000.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Other taxes payable by natural resource companies (116E),Oil & Gas,Mise à disposition des équipements par les sociétés pétrolières à la DHG,Direction Générale des Hydrocarbures (DGH),1363247334.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,Taxes ad-valorem (Royalties),Direction Générale des Impôts (DGI),13827192860.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Royalties (1415E1),Mining,Taxes ad-valorem (Royalties),Direction Générale des Mines et de la Géologie (DGMG),2498076691.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Taxes on payroll and workforce (112E),Mining,Fonds de développement de la formation Professionnelle (FDFP),Direction Générale des Impôts (DGI),531718602.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Taxes on payroll and workforce (112E),Oil & Gas,Fonds de développement de la formation Professionnelle (FDFP),Direction Générale des Impôts (DGI),67852829.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Taxes on property (113E),Mining,Contribution des patentes,Direction Générale des Impôts (DGI),30478299.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Taxes on property (113E),Mining,Impôt sur le Revenu des Capitaux Mobiliers (IRC),Direction Générale des Impôts (DGI),1885385109.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
Taxes on property (113E),Oil & Gas,Contribution des patentes,Direction Générale des Impôts (DGI),535550225.0,XOF,Cote d'Ivoire,CIV,2018,2018-01-01,2018-12-31
