Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
NORTH CORMORANT,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
"Newport Sand Wharf Berth, Rvr Usk",Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Ninian Field to Grutwick,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Amoco Pipeline,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Bacton Lancelot,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Brent St Fergus,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Britannia Field to St Fergus,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Clair Pipeline,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Easington Amethyst,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Forties Field to Cruden Bay,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Frigg Field to Rattray Bay,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Orka Voe - West of Shetland,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Paston Amoco,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Oil Pipeline - Pickerill Pipeline,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
Orwell,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P005,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P019,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P020,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P025,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P050,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P057,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P059,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P073,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P083,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1006,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P101,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1015,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1026,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1028,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P103,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1034,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P104,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1041,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1042,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1051,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1055,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1060,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1061,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1062,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1064,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1070,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P1077,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P108,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P11,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
P110,Not available,Not available,Not available,Not available,,,,,United Kingdom,GBR,2019,2019-01-01,2019-12-31
