Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
Shar Narst,Private,2618621,Mining,"Gold, copper",Not applicable,Not applicable,377372.11,Mongolia,MNG,2020,1/1/2020,12/31/2020
Shariin Gol Mining,Private,6377947,Mining,"Gold, copper",Not applicable,Not applicable,123177.9,Mongolia,MNG,2020,1/1/2020,12/31/2020
Shin Shin,Private,2830213,Mining,"Gold, copper",Not applicable,Not applicable,15885982.84,Mongolia,MNG,2020,1/1/2020,12/31/2020
Sonor Trade,Private,2590565,Mining,"Gold, copper",Not applicable,Not applicable,323017.76,Mongolia,MNG,2020,1/1/2020,12/31/2020
Southgobi Sands,Private,5084555,Mining,Coal,Not applicable,Not applicable,16041030.99,Mongolia,MNG,2020,1/1/2020,12/31/2020
Special Mints/Naran Mandal Enterprises,Private,5295858,Mining,"Gold, copper",Not applicable,Not applicable,1480984.59,Mongolia,MNG,2020,1/1/2020,12/31/2020
Standard Holding,Private,5445744,Mining,"Gold, copper",Not applicable,Not applicable,377683.45,Mongolia,MNG,2020,1/1/2020,12/31/2020
Steppe Gold JSC,Private,6101615,Mining,"Gold, copper",https://steppegold.com/mn/,https://steppegold.com/mn/financial-reports/,849907.24,Mongolia,MNG,2020,1/1/2020,12/31/2020
Tavantolgoi JSC,State-owned enterprises & public corporations,2016656,Mining,Coal,https://www.tavantolgoi.mn/,Not applicable,24366274.73,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ten Hun,Private,2839717,Mining,"Gold, copper",Not applicable,Not applicable,632611.03,Mongolia,MNG,2020,1/1/2020,12/31/2020
Terguun Mining,Private,6030343,Mining,"Gold, copper",Not applicable,Not applicable,338516.71,Mongolia,MNG,2020,1/1/2020,12/31/2020
Tod Undraga,Private,2872943,Mining,"Gold, copper",Not applicable,Not applicable,779590.95,Mongolia,MNG,2020,1/1/2020,12/31/2020
Top Gan Drilling,Private,6268048,Mining,"Gold, copper",https://topgandrilling.mn/,Not applicable,170056.61,Mongolia,MNG,2020,1/1/2020,12/31/2020
Tsaina Investment Mongolia,Private,5767865,Mining,Coal,Not applicable,Not applicable,137921.32,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ubiqsolution,Private,5849314,Mining,"Gold, copper",Not applicable,Not applicable,60847.37,Mongolia,MNG,2020,1/1/2020,12/31/2020
Uguuj Bayankhangai,Private,5515882,Mining,"Gold, copper",Not applicable,Not applicable,135462.2,Mongolia,MNG,2020,1/1/2020,12/31/2020
Ulz Gol,Private,2344343,Mining,"Gold, copper",http://ulzgroup.mn/,Not applicable,225814.45,Mongolia,MNG,2020,1/1/2020,12/31/2020
Universal Copper,Private,2875578,Mining,"Gold, copper",Not applicable,Not applicable,113413.32,Mongolia,MNG,2020,1/1/2020,12/31/2020
Usukh Zoos,Private,5199077,Mining,Coal,http://usukhzoos.mn/,Not applicable,19742477.21,Mongolia,MNG,2020,1/1/2020,12/31/2020
Uuls-Noyon,Private,2868687,Mining,Coal,Not applicable,Not applicable,101576.23,Mongolia,MNG,2020,1/1/2020,12/31/2020
Uulszaamar,Private,2819996,Mining,"Gold, copper",Not applicable,Not applicable,451857.54,Mongolia,MNG,2020,1/1/2020,12/31/2020
Voyager Mineral Resources,Private,5502292,Mining,"Gold, copper",Not applicable,Not applicable,476513.64,Mongolia,MNG,2020,1/1/2020,12/31/2020
