Full company name,Company type,Company ID number,Sector,Commodities (comma-seperated),Stock exchange listing or company website,"Audited financial statement (or balance sheet, cash flows, profit/loss statement if unavailable)",Payments to Governments Report,Country,ISO Code,Year,Start Date,End Date
KATANGA METALS,Private,A1210828J,Mining,,,,464522.24,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
KIBALI GOLDMINES SA,Private,A0702049L,Mining,Au,,,49016457.34,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
KINSENDA COPPER COMPANY SARL (KICC),Private,A0704875H,Mining,Cu,,,8255508.9,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
KIPUSHI CORPORATION SA (KICO),Private,A1009298T,Mining,Cu; Zn,,,4206771.54,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
KISANFU MINING SPRL (KIMIN),Private,A1004150Y,Mining,Cu; Co,,,112333.23,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA CONGOLAISE DES MINES ET DE DEVELOPPEMENT SARL (COMIDE),Private,A0704695M,Mining,Cu,,,2033675.4,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA CONGOLAISE D’EXPLOITATION MINIERE (COMINIERE),State-owned enterprises & public corporations,A1113407L,Mining,Coltan; Sn; Au; Ag; Lithium; Cassitérite,,,11138.81,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA GENERALE DES CARRIERES ET DES MINES (GECAMINES),Private,A0701147F,Mining,Cu; Co; Zn; Ag; Ge,,,6577291.19,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA MINIERE DE BAKWANGA SA (MIBA),State-owned enterprises & public corporations,A0700201C,Mining,Diamant,,,3194.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA MINIERE DE KALUMBWE MYUNGA (MKM),Private,A0704883R,Mining,Cu; Co,,,13909251.6,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA MINIERE DE KALUNKUNDI (LAMIKAL),Private,A0906438J,Mining,Cu,,,1249304.76,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA MINIERE DE KASOMBO SAS (MIKAS),Private,A0814790L,Mining,Cu; Co,,,398193.22,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LA SINO CONGOLAISE DES MINES SA (SICOMINES),Private,A1007960P,Mining,Cu; Co,,,8484888.58,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LIREX SARL,Private,A0703937N,Oil,Oil,,,24475158.06,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LUALABA MINING RESOURCES SAS,Private,A1616095N,Mining,Cu; Co; Sn,,,1070232.98,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LUGUSHWA MINING S.A.R.L,Private,A0700163L,Mining,Au,,,332282.63,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
LUISHA MINING ENTREPRISE,Private,A1206739P,Mining,,,,253209.18,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MACROLINK JIAYUAN MINING SARL (MJM),Private,A0814788J,Mining,,,,7807349.23,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MANONO MINERALS SARL,Private,A1113961N,Mining,FeMn; Cassitérite,,,13595.95,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
METAL AND CHEMICAL (METACHEM),Private,A1201610P,Mining,,,,731423.39,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
METAL MINES SARL (MTM),Private,A0814803A,Mining,Coltan; Cu; Co,,,7975705.97,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MINES D’OR DE KISENGE SPRL (CLUFF MINING/MDDK),Private,A0906857P,Mining,Au,,,7745.09,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MINING MINERAL RESSOURCE SARL (MMR),Private,A0802327P,Mining,Coltan; Sn; W,,,2908636.85,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MINING PROGRESS COMPANY SARL (MPC),Private,A1500849Q,Mining,,,,46622.75,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MMG KINSEVERE,Private,A0800394N,Mining,Cu; Co,,,48535839.55,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MONGBWALU GOLD MINES SA (MGM),Private,A0700152Z,Mining,Au,,,87037.32,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MUANDA INTERNATIONAL OIL COMPANY (MIOC),Private,A0701284E,Oil,Oil,,,68414721.81,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MURUMBI MINERALS SPRL,Private,A1304079Z,Mining,Au,,,6030.89,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
MUTANDA MINING SARL (MUMI),Private,A0704867Z,Mining,Cu; Co,,,334135092.52,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"MWANA AFRICA CONGO GOLD, LA MINIERE DE ZANIKODO (MIZAKO)",Private,A1203553B,Mining,,,,1602116.64,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
NAMOYA MINING SARL,Private,A0700153A,Mining,Au,,,4665769.02,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
OIL OF DRC,Private,A1103150M,Oil,Oil,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
OM METAL RESSOURCES,Private,A1212519X,Mining,,,,736261.23,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
PERENCO ODS LIMITED (EX. CHEVRON),Private,A0703905D,Oil,Oil,,,22817896.09,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
PERENCOREP,Private,A1215507U,Oil,Oil,,,28866407.09,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
PHELPS DODGE CONGO,Private,A0906604P,Mining,Cu; Co,,,985526.17,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
RASH ET RASH sarl,Private,F55475651Q,Mining,,,,60008.66,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
RUASHI MINING SAS (RUMI),Private,A0704687D,Mining,Cu; Co,,,33816442.82,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
RUBACO SARL,Private,A0814809G,Mining,Cu; Co,,,950328.31,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
RUBAMIN,Private,A0814806D,Mining,Cu; Co,,,7406391.41,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SHITURU MINING CORPORATION SAS (SMCO),Private,A1008279L,Mining,Cu; Co,,,11076786.36,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SINO KATANGATIN SARL (SKT),Private,A1111135R,Mining,,,,78517.61,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE ANHUI CONGO d'INVEST.MIN/SACIM,State-owned enterprises & public corporations,A1001383Q,Mining,Diamant,,,4863111.63,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE AURIFERE DU KIVU ET DU MANIEMA (SAKIMA),State-owned enterprises & public corporations,A1105861J,Mining,Au; Nb; Sn; Ta; W,,,86171.2,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE COMMERCIALE DE LA MINIERE DE KISENGE - MANGANESE (SCK-Mn),State-owned enterprises & public corporations,A0811080D,Mining,Mn,,,2606.36,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE D'EXPLOITATION DE GISEMENTS DE KALUKUNDI SPRL (SWANMINES),Private,A0708266T,Mining,Cu; Co,,,92124.54,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE D'EXPLOITATION DE KIPOI S.A (SEK),Private,A0811655D,Mining,Cu,,,10828289.46,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE D'EXPLOITATION DE LA CASSITERITE AU KATANGA SPRL (SECAKAT),Private,A1200747B,Mining,Sn; W,,,10777.14,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE D'EXPLOITATION DES GISEMENTS DE MALEMBA NKULU (SEGMAL),Private,A1200750E,Mining,Coltan; Sn; W,,,20415.59,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE DE DEVELOPPEMENT INDUSTRIEL ET MINIER DU CONGO Sarl (SODIMICO),State-owned enterprises & public corporations,A0905363Q,Mining,Cu; Co,,,861916.3,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE DE DEVELOPPEMENT INDUSTRIEL ET MINIER DU KATANGA SA (SODIMIKA),Private,A1007484X,Mining,Cu; Co,,,338321.59,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE DE TRAITEMENT DU TERRIL DE LUBUMBASHI (STL),Private,A0700357X,Mining,,,,4036220.12,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE DEXPLOITATION DE SHAMITUMBA,Private,F24586365K,Mining,,,,13151.23,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE GENERALE DE COMMERCE SARL (SOGECOM),Private,A1310571F,Mining,,,,12517.1,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE IMMOBILIERE DU CONGO (SIMCO),Private,A1115317M,Mining,,,,2684313.95,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE KAMITUGA MINING S.A.R.L,Private,A0700193T,Mining,Au,,,201179.48,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE BISUNZU,Private,A1407282G,Mining,,,,2078213.56,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE DEZIWA SAS (SOMIDEZ),Private,A1712131F,Mining,Cu; Co,,,561387.56,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE DIAMANT DE LUPATAPATA (SMDL),Private,A1202532R,Mining,Diamant,,,570.0,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE KILO-MOTO Sarl(SOKIMO),State-owned enterprises & public corporations,A0805833A,Mining,Au,,,172082.06,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE KOLWEZI (SMK),Private,A0714791L,Mining,,,,34.52,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE MITWABA (SOMIMI),Private,A1300694U,Mining,Sn; Ta; Nb; Au; W,,,6971.24,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DE MOKU - BEVERENDI,Private,A1109197K,Mining,,,,1513904.62,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOCIETE MINIERE DU KATANGA (SOMIKA),Private,A0704865X,Mining,Cu; Co,,,13431888.11,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SOGEWYZ,Private,A1303289Q,Mining,Diamant,,,376941.41,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SONAHYDROC SA (ex. COHYDRO),State-owned enterprises & public corporations,A0700108B,Oil,Oil,,,132938.55,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
STE BRAVUKA CONGO SA,Private,Q1478529K,Mining,,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
SURESTREAM,Private,A0706875G,Oil,Oil,,,,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
TANGANYIKA MINING COMPANY SPRL,Private,A1204674U,Mining,Au,,,104482.61,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
TEIKOKU OIL DRC,Private,A0703938P,Oil,Oil,,,46160057.17,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
"TENGYUAN COBALT & COPPER RESOURCES LTD., CO.( TCC. SAR)",Private,A1608603U,Mining,Co,,,5815411.78,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
TENKE FUNGURUME MINING S.A (TFM),Private,A0810758D,Mining,Cu; Co,,,363978701.2,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
THOMAS MINING SARL,Private,A1408473B,Mining,,,,1604785.85,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
TOTAL E&P,Private,A1109715Y,Oil,Oil,,,806992.05,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
TSHISANGAMA SIMON MINING (TSM),Private,A0805717Z,Mining,,,,1594491.21,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
TWANGIZA MINING S.A.R.L,Private,A0700073N,Mining,Au,,,7280358.65,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
UNITED COMMINIERE,Private,A1703029M,Mining,,,,90172.59,Democratic Republic of Congo,COD,2017,2017-01-01,2017-12-31
