Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Basra Oil Company,State-owned enterprises & public corporations,,378764805.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
Kurdistan Regional Government (KRG),State government,,7720297020.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
Midland Oil Company,State-owned enterprises & public corporations,,72165821.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
Ministry of Finance,Central goverment,,84823310707.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
Ministry of Oil,Central goverment,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Missan Oil Company,State-owned enterprises & public corporations,,196912014.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
North Oil Company,State-owned enterprises & public corporations,,266180203.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
State Oil Marketing Company (SOMO),State-owned enterprises & public corporations,,,Iraq,IRQ,2018,1/1/2018,12/31/2018
Thi Qar Oil Company,State-owned enterprises & public corporations,,70896785.0,Iraq,IRQ,2018,1/1/2018,12/31/2018
